MUTUAL NON-DISCLOSURE AGREEMENT	0	x
Between	0	x
AND	0	x
Subject Matter:	0	x
Effective Date of Agreement: Period                , 2017	0	x
for Exchange of Information:                        , 2017  to	0	x
Period of Confidentiality:	0	x
____________________________________________________	0	x
THIS AGREEMENT is made as of the Effective Date of Agreement noted above, by and between the above parties.	-1	s
BACKGROUND:	0	d
I.    The parties desire to have discussions of or relating to the Subject Matter for the purposes of evaluating a possible	0	c
business  relationship  between  them  (“Purpose”).  The  parties  may  extend  the  Subject  Matter  or  add  additional	0	c
parties by executing one or more addenda to this Agreement.	0	s
II.   Such discussions may involve disclosure by one party to the other party of confidential, proprietary or trade secret	0	c
information of its own or its licensors (“Confidential Information” as defined below), during the Period for Exchange	0	c
of Information.	0	s
III. Both  parties  recognize  the  value  of  the  Confidential  Information  and  that  it  is  in  their  mutual  best  interests  to	0	c
maintain the confidential, proprietary and secret nature of the Confidential Information.	-1	s
THEREFORE, in consideration of the Subject Matter, and the mutual promises herein, the parties agree as follows:	0	s
1.   CONFIDENTIAL  INFORMATION.    The  term  “Confidential  Information”  as  used  herein  means  all  nonpublic	0	c
information relating to the Subject Matter that is disclosed by either party, its Affiliates (as defined below), or their	0	c
agents (where applicable, collectively referred to as the “Disclosing Party”), directly or indirectly, in writing, orally	0	c
or  by  inspection  of  premises  or  tangible  objects  to  the  other  party  (the  “Recipient”)  that  is:  (i)  marked	0	c
confidential or proprietary, or (ii) given the nature of the information or the circumstances surrounding its disclosure,	0	c
reasonably  should  be  deemed  confidential.    Confidential  Information  includes,  but  is  not  limited  to  documents,	0	c
drawings, models, apparatus, sketches, designs, schedules, product plans, marketing plans, technical procedures,	0	c
manufacturing  processes,  software,  prototypes,  samples,  methodologies,  formulations,  trade  secrets,  patent	0	c
applications, know-how, experimental results, specifications and other business information.	0	s
2.   PERIOD  OF  CONFIDENTIALITY  AND  NON-USE.    The  Recipient  will  use  Confidential  Information  only  in	0	c
connection with the Purpose as set forth in this Agreement.  Recipient shall use the same degree of care to avoid	0	c
disclosure  or  use  of  the  Confidential  Information  as  it  uses  for  its  own  confidential,  proprietary  and  trade  secret	0	c
information,  but  in  no  case  use  less  than  a  reasonable  degree  of  care.  Recipient  agrees  to  limit  disclosure  of	0	c
Confidential Information to employees and employees of Affiliates having a specific need to know such Confidential	0	c
Information for the Purpose and in the case of Affiliates only to the extent that such Affiliate is under obligation to	0	c
hold such information in confidence and is made aware of these terms and conditions. Recipient will not disclose or	0	c
permit access to Confidential Information to contract workers, consultants or contractors of Recipient or its Affiliates	0	c
unless  authorized  by  Disclosing  Party  in  writing  and  on  condition  that  such  persons  are  bound  by  obligations  of	0	c
confidentiality inuring to the benefit of Disclosing Party and its Affiliates at least as restrictive as these terms and	0	c
conditions.    Recipient  shall  not  without  Disclosing  Party’s  prior  written  consent  reverse  engineer,  disassemble  or	0	c
decompile any prototypes, software or other objects which embody the Disclosing Party’s Confidential Information	0	c
to  obtain  access  to  Disclosing  Party’s  trade  secrets  and  to  the  extent  such  consent  is  granted  Recipient  shall	0	c
receive and hold such Confidential Information subject to the terms of this Agreement.	0	s
Bosch North America Mutual NDA rev. 2017.03.31.IPR-NA                                                                     Page 1 of 4	0	e
3.  TERM.  The term of this Agreement shall be for the Period of Exchange set forth above.  Confidentiality obligations	0	c
shall survive termination of this Agreement for the Period of Confidentiality set forth above unless the Confidential	0	c
Information  is  a  trade  secret,  in  which  case  the  confidentiality  obligations  shall  continue  for  as  long  as  the	0	c
information is a trade secret.  Either party may terminate this Agreement upon 30 days prior written notice.	0	s
4.  NOTICE OF UNAUTHORIZED USE.  Recipient shall provide written notice to Disclosing Party without undue delay	0	c
of any misuse or misappropriation of Confidential Information which may come to the attention of Recipient.  The	0	c
Recipient shall cooperate with and aid the Disclosing Party in mitigating and preventing the unauthorized use and	0	c
disclosure and any furtherance thereof.	0	s
5.  EXCLUSIONS  AND  EXEMPTIONS.    Recipient  shall  have  no  obligation  of  confidentiality  with  respect  to  any	0	c
information which:	0	d
5.1.  is already known or in the possession of Recipient or its Affiliate at the time of disclosure as shown by the	0	c
Recipient’s and/or its Affiliates ́ files and records prior to the time of disclosure, otherwise than as a result of	0	c
any improper act or omission of Recipient or its Affiliate; or	0	s
5.2.  is or becomes public knowledge through no wrongful act of Recipient; or	0	s
5.3.  is rightfully acquired from others who did not obtain it under obligation of confidentiality; or	0	s
5.4.  is  independently  developed  by  an  employee,  agent  or  consultant  of  Recipient  without  reference  to  the	0	c
Confidential Information; or	0	s
5.5.  is approved for release by written authorization from Disclosing Party.	0	s
