Non-Disclosure Agreement	0	x
Date:	0	x
Parties:       [NAME OF INDIVIDUAL RECEIVING INFORMATION] of [address of individual]	0	c
and FRODSHAM TOWN COUNCIL whose registered office is at CASTLE PARK HOUSE, CASTLE	0	c
PARK, FRODSHAM, WA6 6SB (the Discloser)	-1	s
1.  The Discloser intends to disclose information (the Confidential Information) to the Recipient for the	0	c
purpose of recommendation of future land use of the decommissioned play area on Ship Street (the	0	c
Purpose).	0	s
2.  The Recipient undertakes not to use the Confidential Information for any purpose except the Purpose,	0	c
without first obtaining the written agreement of the Discloser.	0	s
3.  The Recipient undertakes to keep the Confidential Information secure and not to disclose it to any third	0	c
party.	0	s
4.  The undertakings in clauses 2 and 3 above apply to all of the information disclosed by the Discloser to	0	c
the Recipient, regardless of the way or form in which it is disclosed or recorded but they do not apply	0	c
to:	0	d
a)  any information which is or in future comes into the public domain (unless as a result of the breach	0	c
of this Agreement); or	0	s
b)  any information which is already known to the Recipient and which was not subject to any	0	c
obligation of confidence before it was disclosed to the Recipient by the Discloser.	15	s
5.  Nothing in this Agreement will prevent the Recipient from making any disclosure of the Confidential	0	c
Information required by law or by any competent authority.	0	s
6.  The Recipient will, on request from the Discloser, return all copies and records of the Confidential	0	c
Information to the Discloser and will not retain any copies or records of the Confidential Information.	0	s
7.  Neither this Agreement nor the supply of any information grants the Recipient any licence, interest or	0	c
right in respect of any intellectual property rights of the Discloser except the right to copy the	0	c
Confidential Information solely for the Purpose.	0	s
8.  The undertakings in clauses 2 and 3 will continue in force indefinitely.	0	s
9.  This Agreement is governed by, and is to be construed in accordance with, English law. The English	0	c
Courts will have non-exclusive jurisdiction to deal with any dispute which has arisen or may arise out	0	c
of, or in connection with, this Agreement.	-1	s
Signed and Delivered as a Deed by:	0	x
[name of Recipient] in the presence of:	0	x
_____________________________	0	x
Signature	0	x
_____________________________	0	x
Signature of witness	0	x
_____________________________	0	x
Name of witness	0	x
_____________________________	0	x
_____________________________	0	x
_____________________________	0	x
Address of witness	0	x
