Confidentiality Agreement	0	x
This Confidentiality Agreement (the “Agreement”) has been prepared on behalf of bpost SA/NV, a limited liability	0	c
company of public law, and the City of Brussels (the “Sellers”) with regard to the divestment of their respective	0	c
surface areas (the “Sale”) in the Munt Center/Centre Monnaie (the “Munt”).	0	s
In consideration of the Sellers agreeing to disclose confidential information (the “Confidential Information”) to	0	c
the  Candidate  (“Disclosee”),  the  latter  hereby  undertakes  to  the  Sellers  that  as  Disclosee,  they  will  keep	0	c
confidential all and any Confidential Information received at any time. The Disclosee will procure that prior to the	0	c
disclosure to any other person (including any professional advisor) of any Confidential Information, such other	0	c
person is made aware of the provisions of this Agreement and the fact that the Disclosee will be liable.	0	s
The Disclosee acknowledges that the Confidential Information,  in as far as it relates to bpost SA/NV,  could be	0	c
price sensitive information  and ensures compliance with the relevant legal and other provisions in this respect	0	c
(including, without being limited to, the provisions of the Belgian Law of 2 August 2002 on the supervision of the	0	c
financial sector and on the financial services in relation to insider dealing and market manipulation).	0	s
Confidential Information shall mean the following:	0	d
a)  all such information, of any kind whatsoever (whether in oral, written or electronic form, and including,	0	c
but  not  limited  to,  technical,  commercial,  financial,  accounting,  legal  and  administrative  information)	0	c
pertaining  to  the  Sale  of  the  Munt  and  the  Sellers  as  may  be  provided  to  the  Disclosee  and  their	0	c
responsible managers, officers, employees, shareholders, members of the Board of Directors and advisors	0	c
(including  financial,  legal  and  tax  advisors  and  auditors)  (“Representatives”),  by  the  Sellers,  their	0	c
advisors or their representatives;	0	s
b)  all  such  analyses,  compilations,  forecasts,  notes,  memoranda  and  other  documents  as  the  Sellers  or	0	c
Deloitte Real Estate* and Laga** (the “Advisors”)  may have prepared or caused to be prepared and	0	c
which may contain, refer to or simply result from, the information mentioned in point (a) above;	0	s
c) the fact that the Disclosee (or any of their Representatives) are or have been involved in the analysis of,	0	c
in meetings or negotiations related to the Sale, the contents, time and status of such negotiations, and	0	c
generally any fact concerning the Sale.	14	s
Confidential Information shall exclude:	0	d
a) information  which  had  become  available  to  the  public  prior  to  the  date  of  disclosure  thereof  to  the	0	c
Disclosee or their Representatives, or that became available to the public after such date other than as a	0	c
result of a breach of this Agreement by the Disclosee or their Representatives;	0	s
b) information which was lawfully in the Disclosee’s possession or in the possession of one or more of their	0	c
Representatives prior to disclosure under this Agreement, in each case on a non-confidential basis, which,	0	c
to their knowledge was free of any restriction as to its use or disclosure.	27	s
The Disclosee acknowledges that they may not approach the representatives of the Sellers and cannot contact	0	c
anybody else other than the contact persons from the Advisors.	0	s
The  Disclosee  further  undertakes  and  acknowledges,  that  neither  the  representatives  of  the  Sellers  nor  their	0	c
Advisors  give  any  warranty  or  make  any  representation  as  to  the  accuracy  or  completeness  of  any  of  the	0	c
Confidential Information or as to the reasonableness of any assumptions on which the information is based. The	0	c
Disclosee agrees that the Sellers or Advisors shall not have any liability to the Disclosee or to any of their directors,	0	c
employees, advisors or agents resulting from the use of Confidential Information.	0	s
1	0	e
This Agreement shall in no way constitute a commitment by any person to supply any Confidential Information	0	c
or enter into any contract in connection with the Sellers. The obligations of the Disclosee under this Agreement	0	c
shall expire the earlier of (a) three years after the date of this Agreement, or (b) the date the Sale between the	0	c
Candidate and the Sellers is completed. The obligations of confidentiality and non-disclosure under this Agreement	0	c
shall become effective as of the date of signing.	0	s
In the event that the Disclosee or any of its Representatives becomes legally compelled to disclose any of the	0	c
Confidential  Information  to  a  regulatory  authority  or  to  any  other  entity  or  third  party,  the  Disclosee  shall	0	c
immediately  notify  the  Sellers  before  disclosing  such  Confidential  Information,  so  that  the  Sellers  may  seek  a	0	c
protective order or other appropriate remedy, without prejudice to the Disclosee’s remedies under this Agreement.	0	s
It is further understood and agreed that, without prejudice to any other rights or remedies which either party	0	c
may have, any breach of these undertakings could cause the Sellers and/or its shareholders irreparable injury. In	0	c
the event of an actual or threatened breach by the Disclosee and/or its Representatives of any provisions of this	0	c
Agreement,  the  Sellers  shall  be  entitled  (i)  to  seek  injunctive  relief  in  any  court  of  competent  jurisdiction	0	c
restraining  the  Disclosee  and/or  its  Representatives  from  breaching  the  terms  hereof  or  from  disclosing  any	0	c
Confidential Information to any person and (ii) specific performance and other equitable relief.	0	s
This Agreement shall be governed by and construed in accordance with Belgian law and the Parties irrevocably	0	c
agree  to  submit  themselves  to  the  exclusive  jurisdiction  of  the  Courts  of  Brussels.  In  accordance  with  the	0	c
procedure  defined  in  the  candidacy  file,  we  would  be  grateful  if  you  could  confirm  your  understanding  and	0	c
acceptance of the foregoing by returning to us a signed copy of the present document	-1	s
Yours sincerely,	0	x
_______________                                         _______________	0	x
Frédéric Sohet                                              Koen Van Gerven	0	x
Partner                                                     CEO	0	x
Deloitte Real Estate | Financial Advisory*                 bpost SA/NV	0	x
The Candidate / Disclosee	0	x
