NON-DISCLOSURE AGREEMENT	0	x
THIS  AGREEMENT  is  made  on  the  _________  day  of  _______________	0	c
2015 between _________________________________________, a company	0	c
incorporated  in  the  Republic  of  Singapore  and  having  its  registered  office  at	0	c
______________________________________________________________,	0	c
(hereinafter  referred  to  as  “the  Company”)  of  the  one  part  and  ALEXANDRA	0	c
HEALTH PTE LTD, a company incorporated in the Republic of Singapore and	0	c
having  its  registered  office  at  90  YISHUN  CENTRAL  SINGAPORE  768828	0	c
(hereinafter referred to as “AHPL”) of the other part.	0	s
WHEREAS:	0	d
(A)  The  parties,  for  their  mutual  benefit,  may  have  exchanged  and  wish  to	0	c
further  exchange  certain  information,  including  but  not  limited  to,  trade	0	c
secrets  and  proprietary  know-how  in  order  that  each  of  them  may	0	c
evaluate such information for the purpose of determining their respective	0	c
interests in establishing a business relationship between them.	0	s
(B)  The parties wish to define their rights with respect to the said information	0	c
and  to  protect  the  confidentiality  thereof  and  proprietary  features	0	c
contained therein.	0	s
(C)  The  Company  acknowledges  that  all  information  or  data  relating  to  the	0	c
Purpose  whether  in  writing,  orally  or  by  any  other  means  if  disclosed	0	c
(whether  directly  or  indirectly)  to  a  third  (3rd)  party  without  the  express	0	c
authorization of AHPL is highly confidential and would have a detrimental	0	c
effect  on  the  business  of  AHPL,  and  that  its  disclosure  could  not  only	0	c
expose  AHPL  to  liability  but  also  to  judicial  sanctions  and  that  such	0	c
disclosure might also adversely affect AHPL’s patients and under certain	0	c
circumstances, disclosure by the Company could expose the Company to	0	c
criminal  prosecution.  In  consideration  of  being  made  privy  to  the	0	c
Confidential Information, the Company hereby agrees to  observe and be	0	c
bound by the terms of the Agreement.	0	s
(D)  The  Company  acknowledges  that  all  information  or  data  relating  to	0	c
Purpose also applies to any organisation/institution that is related to AHPL	0	c
(i)  either  by  reason  of  AHPL  directly  or  indirectly  controlling  the	0	c
organisation/institution;   (ii)   by   reason   of   both  AHPL   and	0	c
organisation/institution being controlled by or under the common control of	0	c
a  third  party;  or  (iii)  by  reason  that  AHPL  is  obliged  to  provide  support	0	c
services  to  that  organisation/institution  for  any  reason.    In  the  context  of	0	c
corporate entities, a person “controls” the entity if it owns and controls (i)	0	c
more than fifty (50) percent of whose shares or other securities entitled to	0	c
AHPL Non-Disclosure Agreement                                1                                                    NDA_01012014	0	e
vote for election of directors (or other managing authority) in the entity, or	0	c
(ii) more than fifty (50) percent of the equity interest in the entity, or (iii) is	0	c
otherwise  able  to  direct  or  cause  the  direction  of  the  management  and	0	c
policies of such person or entity whether by contract or otherwise.	10	s
NOW IT IS HEREBY AGREED AS FOLLOWS:	0	d
1.     DEFINITIONS	0	d
In  this  Agreement,  the  following  expressions  shall  have  the  following	0	c
meanings:	0	d
1.1   'Purpose'  shall  mean  any  discussions  and  negotiations  between  or	0	c
within the parties concerning or in connection with the establishment of	0	c
a business relationship between the parties.	0	s
1.2	0	d
(a)      'Confidential Information' shall mean all information received from the	0	c
other  party  which  the  latter  has  indicated  in  writing  or  labelled  to  be	0	c
“Confidential”,  “Proprietary  Information”  or  with  any  other  comparable	0	c
