NON-DISCLOSURE AGREEMENT	0	x
THIS NON-DISCLOSURE AGREEMENT (“Agreement”) made this ___________day	0	c
of _________________, ________________ (“Effective Date”), by and between	0	c
VIDAR Systems Corporation, a Virginia corporation, with offices in Herndon, Virginia	0	c
(“VIDAR”), and _________________________________, a _____________________	0	c
[corporation/limited liability company/individual], whose address is	0	c
______________________________________________________ (“Receiver”).	0	s
WHEREAS, in the course of its activities with VIDAR, Receiver will receive confidential	0	c
information about VIDAR, including but not limited to VIDAR’s products (hardware,	0	c
software and firmware) and its design, engineering, research, development, software,	0	c
marketing, manufacturing processes, pricing and business plans.  Receiver has agreed	0	c
to receive such information on a confidential basis and to disclose it only as provided for	0	c
in this Agreement.	0	s
NOW, THEREFORE, in consideration of the mutual promises and covenants contained	0	c
herein, and of other good and valid consideration, the receipt and sufficiency of which is	0	c
hereby acknowledged, the parties hereto, intending to be legally bound, hereby agree	0	c
as follows:	0	d
1.  Confidential Information.  The term “Confidential Information” means any and all	0	c
tangible and intangible information disclosed to Receiver in oral, written, graphic,	0	c
recorded, photographic, any machine-readable or in any other medium or form	0	c
relating to the intellectual property, management, operations, products, inventions,	0	c
suppliers, customers, financials of VIDAR or any present or contemplated project,	0	c
contract or relationship between VIDAR and Receiver, including without limitation,	0	c
any and all plans, Intellectual Property (defined below), know-how, computer	0	c
programs, software (source and object code), algorithms, computer processing	0	c
systems, techniques, methodologies, formulae, compilations of information, designs,	0	c
drawings, schematics, analyses, evaluations, formulations, ingredients, samples,	0	c
processes, machines, prototypes, mock-ups, product performance data, proposals,	0	c
job notes, reports, records, specifications, manuals, supplier and customer lists and	0	c
information, licenses, the prices it obtains or has obtained for the licensing of its	0	c
software products and services, purchase and sales records, marketing information	0	c
or any other information concerning the business and goodwill of VIDAR and any	0	c
information which is identified as being of a confidential or proprietary nature or	0	c
should be considered confidential under the circumstances.	0	s
2.  Receiver’s Obligations.  Receiver shall: (i) hold the Confidential Information in strict	0	c
confidence; (ii) use the Confidential Information only for the purposes as expressly	0	c
directed by VIDAR; and (iii) provide such information only to those of its personnel	0	c
who: (y) have a need to know the same to further VIDAR’s interests; and (z) become	0	c
a party to and bound by a confidentiality agreement at least as restrictive as this	0	c
Agreement prior to receiving any such information.  Receiver will not disclose	0	c
Confidential Information to any party who do not meet the preceding requirements.	0	c
Receiver shall use the same degree of care to protect and safeguard the	0	c
