NON-DISCLOSURE CERTIFICATE	0	x
I  hereby  certify  my  understanding  that  access  to  Confidential  Information  is  provided  to  me	0	c
pursuant  to  the  terms  and  conditions  of  the  Non-Disclosure  Agreement  for  the  Exchange  of	0	c
Energy  Management  System  Model  Data  dated  as  of  the  _11th__  day  of  ___August_______,	0	c
20_15_ by and among PJM Interconnection, L.L.C. (“PJM”) and the PJM Transmission Owner	0	c
(“Transmission  Owner”).    I  certify  that  I  have  been  given  a  copy  of  and  have  read  the  Non-	0	c
Disclosure  Agreement,  and  I  agree  to  be  bound  by  it.    I  understand  that  the  contents  of  the	0	c
Confidential  Information,  and  Notes  or  other  memoranda,  or  other  form  of  information  that	0	c
copies  or  discloses  Confidential  Information  shall  not  be  disclosed  to  anyone  other  than  in	0	c
accordance with the Non-Disclosure Agreement.	0	s
By_________________________________	0	x
Print Name:__________________________	0	x
Title:_______________________________	0	x
Employed By:________________________	0	x
Representing:________________________	0	x
Date Signed_________________________	0	x
NON-DISCLOSURE AGREEMENT	0	x
FOR THE EXCHANGE OF ENERGY MANAGEMENT SYSTEM MODEL DATA	0	x
This  Non-Disclosure  Agreement  (“Agreement”) is  made this  _11th__  day  of	0	c
___August____________,  2015__  by  and  between  PJM  Interconnection,  L.L.C.  (“PJM”),  a	0	c
Delaware  limited  liability  company,  with  offices  at  2750  Monroe  Boulevard,  Audubon,  PA	0	c
19403  and  _____________________,  the  Undersigned  Transmission  Owner  (“Transmission	0	c
Owner”) (hereinafter PJM and the Undersigned Transmission Owner are collectively referred to	0	c
as “Parties” and individually as a “Party).	0	s
RECITALS:	0	d
WHEREAS,  PJM  serves  as  the  Regional  Transmission  Organization  with  reliability	0	c
and/or  functional  control  responsibilities  over  transmission  systems  involving  all  or  parts  of	0	c
thirteen  states  and  the  District  of  Columbia,  and  operates  and  oversees  wholesale  markets  for	0	c
electricity  pursuant  to  the  requirements  of  the  PJM  Open  Access  Transmission  Tariff  (“PJM	0	c
Tariff”)  and  the  Amended  and  Restated  Operating  Agreement  of  PJM  Interconnection,  L.L.C.	0	c
(“Operating Agreement”); and	0	s
WHEREAS, the Transmission Owners recognize that, while PJM serves as the Regional	0	c
Transmission Organization in the PJM region, the Transmission Owners within the PJM region	0	c
perform  certain  Transmission  Functions,  as  Transmission  Functions  is  defined  in  section  18	0	c
C.F.R.  §  358  of  the  FERC  rules  and  regulations,  with  respect  to  their  individual  transmission	0	c
systems and distribution systems.	0	s
WHEREAS, the Parties desire to enter into this Agreement to protect and maintain from	0	c
disclosure  to  third  parties  the  Confidential  Information  that  will  be  exchanged  to  facilitate	0	c
reliable operations; and	0	s
WHEREAS,  this  Agreement  is  a  statement  of  the  conditions  and  requirements,	0	c
consistent with the requirements of the Operating Agreement, whereby a Disclosing Party may	0	c
provide  Confidential  Information  to  a  Party  for  the  purpose  of  the  Party  executing  its	0	c
Transmission Functions.	0	s
NOW, THEREFORE, in consideration of the mutual promises made herein intending to	0	c
be legally bound, the Parties agree as follows:	0	d
A.     Definitions	0	d
1.     “Agreement”  means  this  Non-Disclosure  Agreement  as  it  may  be  amended,	0	c
modified or otherwise supplemented, as in effect from time to time.	0	s
2.     “Authority” means a federal, state or local court or federal or state administrative	0	c
agency of competent jurisdiction.	0	s
3.     “Commission” or “FERC” means the Federal Energy Regulatory Commission or	0	c
any successor federal agency or commission.	0	s
4.     “Confidential  Information”  means  a  Party’s  energy  management  system  model	0	c
data  provided  or  to  be  provided  by  a  Disclosing  Party  to  another  Party.	0	c
Confidential  Information  shall  be  disclosed  only  to  Reviewing  Representatives	0	c
and only used to enable a Party to perform its Transmission Functions.	0	s
5.     “Disclosing Party” means the Party furnishing the other Parties with Confidential	0	c
Information.	0	s
6.     “Law”  means  any  applicable  constitutional  provision,  statute,  act,  code,  law,	0	c
regulation,  rule,  ordinance,  order,  decree,  ruling,  proclamation,  resolution,	0	c
judgment,  decision,  declaration  or  interpretive  or  advisory  opinion  of  an	0	c
Authority.	0	s
7.     “Non-Disclosure  Certificate”  means  the  certificate  annexed  hereto  by  which	0	c
Reviewing  Representatives  seeking  access  to  Confidential  Information  shall	0	c
certify  their  understanding  that  such  access  to  Confidential  Information  is	0	c
provided  pursuant  to  the  terms  and  conditions  of  this  Agreement  and  that  each	0	c
Reviewing Representative has read this Agreement and agrees to be bound by it.	0	s
8.     “Notes” or “Notes  of Confidential  Information”  means memoranda, handwritten	0	c
notes,  or  other  form  of  information  (including  electronic  form)  which  copies  or	0	c
discloses Confidential Information.	0	s
9.     “Reviewing  Representative”  means  an  employee  of  a  Party  who  has  signed  or	0	c
electronically signed a Non-Disclosure Certificate and who is a principal, partner,	0	c
officer, director, employee, agent and other representative of a Party.  Reviewing	0	c
Representative may include a person whose duties include Competitive Duties so	0	c
long  as  such  Reviewing  Representative’s  receipt  and  use  of  Confidential	0	c
Information is not prohibited conduct under FERC’s rules, including Standards of	0	c
Conduct.	0	s
10.    “Standards of Conduct” means the standards as set forth in 18 C.F.R. Part 358 as	0	c
amended or superseded from time to time	0	s
11.    “Transmission Owner” shall have the meaning defined in the PJM Tariff.	0	s
12.    “Third Party Request” means any request or demand by any entity upon a Party or	0	c
Reviewing  Representative  for  release  or  disclosure  of  Confidential  Information.	0	c
A Third Party Request shall include, but not limited to, any subpoena, discovery	0	c
request,  or  other  request  for  Confidential  Information  made  by  any  entity  not  a	0	c
Party to this Agreement.	0	s
13.    “Undersigned  Transmission  Owners”  means  the  Transmission  Owners  who  are	0	c
signatories to this Agreement.	46	s
B.     Confidential Information - General Non-Disclosure Provisions	0	d
The  following  provisions  govern  the  use  of  Confidential  Information  under  this	0	c
Agreement.	0	d
1.     Disclosure  of  Confidential  Information.    A  Disclosing  Party  may  disclose  or	0	c
discuss  a  Party’s  Confidential  Information  with  any  other  Party  to  this  Agreement.    The	0	c
disclosure  of  the  Confidential  Information  is  subject  to  the  terms  and  conditions  stated  herein.	0	c
Each Party acknowledges the importance to the other Parties of preserving the confidentiality of	0	c
the Confidential  Information and that a Disclosing Party is  relying on the agreements  set  forth	0	c
herein  in  furnishing  Confidential  Information  to  a  Party.    Each  Party  shall  safeguard  the	0	c
Confidential  Information  at  least  to  the  same  extent  that  it  would  its  own  confidential	0	c
information.	0	s
2.     Reviewing Representative.  A Reviewing Representative shall not have access to	0	c
any  Confidential  Information  unless  that  Reviewing  Representative  is  required  to  have  the	0	c
information  in  order to  carry  out  that person’s  Transmission Functions  responsibilities  and has	0	c
executed the attached Non-Disclosure Certificate.  The Reviewing Representative shall deliver a	0	c
copy  of  his  or  her  executed  Non-Disclosure  Certificate  to  PJM.    A  Reviewing  Representative	0	c
shall  not  use  the  Confidential  Information  or  any  portion  thereof  to  give  any  Party  or  a	0	c
competitor  of  any  Party  a  competitive  or  commercial  advantage.    A  Reviewing  Representative	0	c
may make copies or Notes of Confidential  Information that shall be subject to this Agreement.	0	c
In  the  event  a  Reviewing  Representative  ceases  to  be  employed  or  engaged  by  a  Party,  or  is	0	c
employed,  retained,  or  given  duties  that  include  Competitive  Duties,  (i)  the  Reviewing	0	c
Representative  shall  continue  to  comply  with  the  terms  and  conditions  of  this  Agreement  with	0	c
