NON-DISCLOSURE AGREEMENT	0	x
This Agreement is effective the [  ] day of [        ] 2019 (the “Effective Date”) between:	0	x
(1)  NSK Europe Limited, registered number 2223191 whose registered office is at Belmont Place, Belmont Road,	0	x
Maidenhead, Berkshire SL6 6TB, UK, (“NSK”)	0	x
and	0	x
(2) [Supplier name], registered number [company reg. no. ]  whose  registered  office  is  at  [insert  address]	0	x
(“[Insert name]”)	0	x
each party referred to as a “Party” and the parties jointly referred to as the “Parties”.	0	x
BACKGROUND	0	d
A.  The Parties intend to enter into discussions relating to the Purpose which will involve the exchange of	0	c
Confidential Information between them.	0	s
B.  The  Parties  have  agreed  to  comply  with  this  Agreement  in  connection  with  the  disclosure  and  use  of	0	c
Confidential Information.	-1	s
THE PARTIES AGREE AS FOLLOWS:	0	d
1.    DEFINITIONS	0	d
Affiliate: shall mean any other corporation or other form of business entity, which, directly or indirectly, controls,	0	c
is controlled by, or is under common control with, a Party at any time during the term of this Agreement.  For	0	c
purposes of this definition, the term “control” means direct or indirect beneficial ownership of more than 50% of	0	c
the voting share or interest of the entity;	0	s
Confidential Information: has the meaning given in clause 2 of this Agreement;	0	s
Disclosing Party: a Party to this Agreement which discloses its Confidential Information to the other Party;	0	s
Purpose:  [[INSERT  DETAILS  e.g.  to  establish  a  business  relationship  in  respect  to  the  supply  of  [named  service	0	c
provision or goods] from X, etc]];	0	s
Receiving Party: a Party to this Agreement which receives the Confidential Information from the other Party;	0	s
Representatives: any employees, officers, directors, professional advisors or consultants in relation to each Party	0	c
and any of its Affiliates, who are actively and directly engaged in the Purpose;	0	s
Term: has the meaning given in clause 10.1 of this Agreement.	15	s
2.    CONFIDENTIAL INFORMATION	0	d
2.1.  Confidential Information means all confidential information relating to the Purpose which the Disclosing	0	c
Party  or  any  of  its  Affiliates,  discloses  or  makes  available,  to  the  Receiving  Party  or  any  of  its  Affiliates,	0	c
before, on or after the Effective Date. This includes:	0	d
a)  the fact that discussions and negotiations are taking place concerning the Purpose and the status of	0	c
those discussions and negotiations;	0	s
Page 1 of 5	0	e
b)  the terms of this Agreement;	0	s
c)  all  confidential  or  proprietary  information  relating  to:  the  business,  affairs,  customers,  clients,	0	c
suppliers, plans, business opportunities, finances, pricing, operations, processes, product information,	0	c
techniques,  know-how,  technical  information,  design,  trade  secrets  and  findings  or  analysis  derived	0	c
from Confidential Information, whether in tangible or intangible form.	31	s
2.2.  Confidential Information does not include information which:	0	d
a)  which  is  or  subsequently  becomes  public  knowledge  or  publicly  available  through  no  fault  of  the	0	c
Receiving Party; or	0	s
b)  which  is  known  by  the  Receiving  Party  prior  to  the  time  of  receipt,  as  evidenced  by  its  written	0	c
records; or	0	s
c)  which  is  lawfully  obtained  by  the  Receiving  Party  from  a  third  party  and  is  not  subject  to  a  similar	0	c
restriction on disclosure;	0	s
d)  which is independently developed by Receiving Party; or	0	s
e)  the Parties agree in writing is not confidential.	40	s
3.    CONFIDENTIALITY OBLIGATIONS	0	d
3.1.  In  consideration  of  the  Disclosing  Party  disclosing  Confidential  Information  to  the  Receiving  Party,  the	0	c
Receiving Party undertakes that it shall:	0	d
a)  keep the Confidential Information secret and confidential, using at least the same degree of care as its	0	c
uses to protect its own confidential information but no less than a reasonable degree of care;	0	s
b)  not use or exploit the Confidential Information in any way except for the Purpose;	0	s
c)  not disclose or make available any Confidential Information in whole or in part to any person except as	0	c
expressly permitted by and in accordance with this Agreement; and	0	s
d)  to establish and maintain adequate security measures to safeguard the Confidential Information from	0	c
unauthorized access or use.	49	s
4.    EXCEPTIONS	0	d
4.1.  Notwithstanding  clause  3.1  of  this  Agreement,  the  Receiving  Party  may  disclose  the  Confidential	0	c
Information:	0	d
a)  to its and its Affiliate’s Representatives, provided always that the Receiving Party procures that  such	0	c
Representatives  shall  comply  with  the  confidentiality  obligations  as  set  out  in  clause  3  of  this	0	c
Agreement,  and  the  Receiving  Party  agrees  to  be  liable  for  the  actions  or  omissions  of  such	0	c
Representatives in relation to the Confidential Information as if they were the actions or omissions of	0	c
the Receiving Party; and	0	s
b)  as may be required by an order of any court of competent jurisdiction or governmental body in which	0	c
case the Receiving Party shall, to the extent permitted by law, use reasonable endeavours to provide	0	c
the Disclosing Party with prompt written notice of any such requirement prior to any disclosure so that	0	c
the Disclosing Party may seek a protection order or other appropriate remedy. If no protective order	0	c
or remedy is obtained by the Disclosing Party, the Receiving Party shall disclose only that portion of	0	c
the Confidential Information that it is legally required to disclose.	59	s
Page 2 of 5	0	e
5.    RETURN OR DESTRUCTION OF CONFIDENTIAL INFORMATION	0	d
5.1.  Upon  the  Disclosing  Party’s  written  request,  the  Receiving  Party  shall  (as  requested  by  the  Disclosing	0	c
Party)  either  return  to  the  Disclosing  Party  or  destroy  (provided  that  any  such  destruction  shall  be	0	c
confirmed in writing by the Receiving Party) all Confidential Information of the Disclosing Party including	0	c
all copies, reproductions, notes, extracts and summaries which include, reflect, incorporate or otherwise	0	c
contain  the  Disclosing  Party’s  Confidential  Information  whether  in  tangible  form  or  otherwise,  such  as	0	c
electronic mail or computer files.	0	s
5.2.  Clause 5.1 of this Agreement shall not apply to:	0	d
a)  Confidential  Information  held  electronically  in  archive  or  back-up  systems  which  are  not  otherwise	0	c
reasonably retrievable by the Representatives of the Receiving Party or its Affiliates; or	0	s
b)  Copies  of  Confidential  Information  which  must  be  retained  by  the  Receiving  Party  pursuant  to	0	c
applicable law.	81	s
5.3.  The provisions of this Agreement shall continue to apply to any documents and materials retained by the	0	c
Receiving Party pursuant to clause 5.2 of this Agreement.	74	s
6.    INTELLECTUAL PROPERTY	0	d
6.1.  Each Party reserves all rights in its Confidential Information.	0	s
6.2.  Nothing  in  this  Agreement  shall  be  interpreted  as  a  grant,  by  the  Disclosing  Party,  of  any  license,  title,	0	c
interest or proprietary right to the Receiving Party in the Disclosing Party’s Confidential Information or its	0	c
products embodying the same.	0	s
6.3.  All  Confidential  Information  disclosed  by  the  Disclosing  Party  to  the  Receiving  Party  pursuant  to  this	0	c
Agreement shall be and remain the Disclosing Party’s property.	88	s
7.    NO REPRESENTATION	0	d
7.1.  Neither  of  the  Parties  make  any  express  or  implied  representation  or  warranty  as  to  the  accuracy,	0	c
reliability or completeness of the Confidential Information, expressly disclaiming any and all liability that	0	c
may be based on the Confidential Information, including any errors therein or omissions there from.	0	s
7.2.  The  Parties  further  agree  that  they  are  not  entitled  to  rely  on  the  accuracy  or  completeness  of  the	0	c
Confidential Information.	95	s
