Annex  5	0	x
Non Disclosure Agreement	0	x
Introduction	0	d
This  Non Disclosure Agreement  (the "NDA") is made by and between the	0	c
Ministry of Defence of the  Kingdom of Norway ("NMOD") and Gripen	0	c
International AB ("GI"), a business  unit of Saab AB  (publ), hereinafter jointly	0	c
referred to as the "Parties" and individually referred to as "Party".	0	s
The  Parties:	0	d
are referring to the letter of agreement between NMOD and GI	0	c
concerning industrial participation in further development of Gripen and	0	c
related projects (the "LOA");	0	s
noting their wish to exchange  information for the purpose of conducting	0	c
evaluations  of the Gripen aircraft, and  pursuing discussions  and work	0	c
related to the Gripen  Demonstrator  Programme  and other Gripen and	0	c
defence  related projects ("LOA Projects");	0	s
noting that such exchange  of information  may involve the disclosure  of	0	c
confidential  information  by either  Party, and that the Parties wish to	0	c
record their agreement  to maintain the confidentiality  of such information;	0	s
noting that exchanging  information with  GI shall also include exchanging	0	c
information with  Saab and upon such disclosure  Saab shall confirm  and	0	c
be bound of the terms and conditions  contained  herein as if Saab was a	0	c
Party to the  NDA;	0	s
noting that  exchanging  information with the NMOD shall also include	0	c
other  Norwegian authorities  and upon such disclosure  said Norwegian	0	c
authority  shall confirm  and be bound of the terms and conditions	0	c
contained  herein as if said Norwegian authority was a Party to the NDA.	-1	s
NOW, THEREFORE,  the parties agree as follows:	0	d
Clause 1	0	d
Confidential  Information  - information  of whatever  kind and  in whatever  form	0	c
contained  (and includes  in particular  but without  prejudice to the generality  of	0	c
the foregoing,  documents,  drawings, computerized  information,  films, tapes,	0	c
specifications,  designs,  models, equipment  or data of any kind) which  is clearly	0	c
identified  by the Disclosing  Party as confidential  by an appropriate  legend or if	0	c
orally disclosed then  upon disclosure  or within  30 days of such oral disclosure	0	c
identified  in writing  by the  Disclosing Party as confidential.	0	s
Disclosing  Party  - the party from time to time disclosing  Confidential	0	c
Information.	0	s
1	0	e
Receiving  Party  - the party from time to time  receiving Confidential  Information.	28	s
Clause 2	0	d
Subject to the terms of the  NDA the Receiving Party hereby undertakes  to the	0	c
Disclosing  Party:	0	d
a)   that it shall treat the Confidential  Information directly or indirectly disclosed	0	c
to it by the  Disclosing  Party as strictly confidential  and will  not without	0	c
obtaining the prior written  consent  of the Disclosing Party disclose  any part	0	c
of the Confidential  Information to any third  party, except where  compelled	0	c
by law or regulation;	0	s
b)   that it shall not make  use of any part of  the Confidential Information	0	c
disclosed to it by the Disclosing Party,  except  for  LOA purposes;	0	s
c)   that it shall give access to the  Confidential  Information only,to those of its	0	c
