NON-DISCLOSURE AND CONFIDENTIALITY AGREEMENT	0	x
This  NON-DISCLOSURE  AND  CONFIDENTIALITY  AGREEMENT  (“Agreement”)  is  made  by  and	0	c
between:	0	d
(i)     the  Office  of  the  United  Nations  High  Commissioner  for  Refugees,  having  its  headquarters	0	c
located  at  94  rue  de  Montbrillant,  1202  Geneva,  Switzerland  (hereinafter  “UNHCR”  or  the	0	c
“Discloser”); and	0	s
(ii)    ________________________ ,  a  company  established in  accordance  with the laws  of	0	c
________________________    and    having    its    principal    offices    located    at	0	c
________________________________________________  (hereinafter the  “Bidder”  or the	0	c
“Recipient”).	3	s
The Discloser and Recipient are also referred to collectively as the “Parties” and individually as a “Party”.	0	s
RECITALS	0	d
WHEREAS in connection with RFP/2014/620, Request for Proposal for the provision Off-the-shelf Soft-	0	c
skill, IT Online and HR specific E-learning Courses (the “RFP”), it is advantageous to share certain data	0	c
and information with the Bidder participating in the RFP;	0	s
WHEREAS  UNHCR  agrees  to  provide  such  data  and  information  to  the  Bidder  for  the  sole  purpose  of	0	c
preparing its Proposal under said RFP;	0	s
WHEREAS  the  Bidder  is  willing  to  ensure  that  UNHCR’s  data  and  information  will  be  held  in  strict	0	c
confidence and only used for the permitted purpose;	-1	s
NOW, THEREFORE, the Parties agree as follows:	0	d
1	0	e
1.  “Confidential  Information”,  whenever  used  in  this  Agreement,  shall  mean  any  data,  document,	0	c
specification  and  other  information  or  material,  that  is  delivered  or  disclosed  by  UNHCR  to  the	0	c
Recipient  in  any  form  whatsoever,  whether  orally,  visually  in  writing  or  otherwise  (including	0	c
computerized form), and that, at the time of disclosure to the Recipient, is designated as confidential.	0	s
2.  The Confidential Information that is delivered or otherwise disclosed by the Discloser to the Recipient	0	c
shall be held in trust and confidence by the Recipient and shall be handled as follows:	0	d
2.1  The  Recipient  shall  use  the  same  care  and  discretion  to  avoid  disclosure,  publication  or	0	c
dissemination  of  the  Confidential  Information  as  it  uses  with  its  own  similar  information  that  it	0	c
does not wish to disclose, publish or disseminate;	0	s
2.2  The  Recipient  shall  use  the  Confidential  Information  solely  for  the  purpose  for  which  it  was	0	c
disclosed;	0	s
2.3  Provided that the Recipient has a written agreement with the following persons or entities requiring	0	c
them  to  treat  the  Confidential  Information  in accordance with this Agreement, the Recipient may	0	c
disclose the Confidential Information to:	0	d
2.3.1  Any other party with the Discloser’s prior written consent; and	0	s
2.3.2  the  Recipient’s  employees,  officials,  representatives  and  agents  who have a  strict  need to	0	c
know the  contents  of the  Confidential Information,  and  employees,  officials,	0	c
representatives and agents of any legal entity that it controls, controls it, or with which it is	0	c
under common control, who have a similar need to know the contents of the Confidential	0	c
Information, provided that, for these purposes a controlled legal entity means:	0	d
2.3.2.1  a  corporate  entity  in  which  the  Party  owns  or  otherwise  controls,  whether  directly  or	0	c
indirectly, over fifty percent (50%) of voting shares thereof; or,	0	s
2.3.2.2  any entity over which the Party exercises effective managerial control; or,	0	s
2	0	e
2.3.2.3  for  UNHCR,  a  principal  or  subsidiary  organ  of  the  United  Nations  established  in	0	c
accordance with the Charter of the United Nations.	35	s
2.4  The  Recipient  may  disclose  the  Confidential  Information  to  the  extent  required  by  law,  provided	0	c
that, subject to and without any waiver of the privileges and immunities of UNHCR, the Recipient	0	c
will  give  UNHCR  sufficient  prior  notice  of  a  request  for  the  disclosure  of  the  Confidential	0	c
