Non-Disclosure Agreement                                                           Energy Technologies Institute	0	x
File Ref No: BIO FIP/EOI/NDA	0	x
CONFIDENTIALITY AGREEMENT	0	x
THIS AGREEMENT is made on        of                       2016	0	s
BETWEEN:	0	d
(1)     ENERGY TECHNOLOGIES INSTITUTE LLP, a limited liability partnership (company no. OC333553)	0	c
whose registered office is at Holywell Building, Holywell Way, Loughborough, Leicestershire, LE11	0	c
3UZ (the “ETI”); and	0	s
(2)     The parties named in Schedule 1 of this Agreement (the “Respondents”),	0	c
(collectively the “Parties” and individually a “Party”)	5	s
BACKGROUND:	0	d
The Parties intend to exchange certain Information on or after the Effective Date for or in relation to the	0	c
Purpose.  The Parties agree to receive such Information, and to treat it as confidential information, on the	0	c
following terms and conditions.	11	s
IT IS AGREED:	0	d
In consideration of the above and for other good and valuable consideration the receipt and sufficiency of	0	c
which is hereby acknowledged, and intending to be legally bound, the Parties agree as follows:	0	d
1.      In this Agreement, unless the context requires otherwise, the following words shall have the following	0	c
meanings:	0	d
“Disclosing Party” means any Party that discloses Information pursuant to this Agreement;	0	s
“Effective Date” means the date of execution of this Agreement;	0	s
“EoI” means the request for expressions of interest relating to the Project, issued by the ETI on 11th	0	c
May 2016;	0	s
“ETI Affiliates” means the Secretary of State for Business, Innovation and Skills (and any successor	0	c
governmental department or agency from time to time) and any other entity which is entitled to	0	c
appoint the directors or otherwise having the ability to direct management policies of the ETI (together	0	c
with any affiliates of those entities), together with their respective officers, employees, agents and	0	c
consultants;	0	s
“Information” means any and all confidential information or data exchanged, submitted or otherwise	0	c
disclosed in respect of or further to the Purpose or prepared for or in relation to the Purpose, including	0	c
but not limited to written Submission documentation, due diligence materials, contractual	0	c
documentation, reports, and the fact that the Parties have entered into this Agreement and are	0	c
discussing and considering a business relationship;	0	s
“Project” means the proposed project under the ETI’s Bioenergy Programme entitled the “Biomass	0	c
Feedstock Improvement Process Project”;	0	s
“Project Commissioning Process” means the ETI’s commissioning process for the Project as	0	c
defined and as set out in the EoI or as later may be notified or published by the ETI;	0	s
“Project Contract” means a Project Contract as such term is defined in the EoI;	0	s
“Purpose” means:	0	d
a.    the preparation and/or submission of any Submission and related documents in response to the	0	c
EoI;	0	s
© 2016 Energy Technologies Institute LLP. The information in this document is the property of Energy Technologies Institute LLP and may not be copied or communicated to a third	0	e
party or used for any purpose other than that for which it is supplied without the express written consent of Energy Technologies Institute LLP.	0	e
www.eti.co.uk   Delivering the UK’s Future Energy Technologies                                                           2	0	e
Non-Disclosure Agreement                                                           Energy Technologies Institute	0	e
b.    the Project Commissioning Process;	0	s
c.    any activities related to the assessment of any Submission for the Project; and	0	s
d.    any related exchanges of Information, clarifications, clearances, discussions, due diligence,	0	s
meetings, and/or negotiations in respect of the EoI, the Project Commissioning Process and/or	0	c
the Project;	39	s
“Receiving Party” means any Party that receives Information pursuant to this Agreement; and	0	s
“Submission” means a submission as such term is defined in the EoI;	0	s
“Third Party IP” means any intellectual property rights that are not licensed or owned by a	0	c
Respondent and identified by a Respondent as relevant to its Submission.	19	s
2.      The Receiving Party shall with regard to any Information disclosed pursuant to this Agreement by or	0	c
on behalf of a Disclosing Party on or after the Effective Date:	0	d
a.    hold the Information in confidence and, except as is otherwise stated herein or agreed in writing	0	c
by the Disclosing Party, shall not disclose or make available the Information by publication or	0	c
otherwise to any third party (including for the avoidance of doubt, disclosure in any patent	0	c
application or to any patent office) and shall use any Information disclosed to it pursuant to this	0	c
Agreement only for carrying out the Purpose;	0	s
b.    make copies of the Information (or any further information derived from the Information) in	0	c
whatever form or medium only to the extent that the copies are reasonably necessary for the	0	c
Purpose and clearly mark all such copies as confidential;	0	s
c.    take all necessary and proper security precautions (and at least as great as those it takes to	0	c
safeguard its own information) to safeguard every part of the Information to prevent it from	0	c
being disclosed or otherwise made available to any third party except as permitted by this	0	c
Agreement; and	0	s
d.    at the request and direction of the Disclosing Party, and without delay, return or destroy any	0	c
Information provided to it pursuant to this Agreement and any copies of such Information,	0	c
except that one copy may be kept by the Receiving Party for archival purposes and for the	0	c
purpose of defending itself against any claims arising in connection with this Agreement.	56	s
3.      The obligations set out in clause 2 shall not apply to Information that:	0	d
a.    the Receiving Party can prove (using written or electronic records), was lawfully known to the	0	c
Receiving Party or in its possession prior to its communication by or at the direction of the	0	c
Disclosing Party and was not communicated to the Receiving Party subject to any restrictions	0	c
on disclosure or use; or	0	s
b.    is or becomes a part of the public domain through no wrongful act of the Receiving Party or any	0	c
person on its behalf, provided that this clause 3(b) shall only apply from the date that the	0	c
relevant Information so enters the public domain; or	0	s
c.    the Receiving Party receives from a third party without similar obligations of confidence in	0	c
circumstances where the third party did not obtain that Information as a result of a breach of an	0	c
obligation of confidence; or	0	s
d.    subject to clause 4, is required to be disclosed or made available by the Receiving Party	0	c
pursuant to any applicable law, governmental regulation, or decision of any court or tribunal of	0	c
competent jurisdiction or any government body, agency or regulatory body.	73	s
4.      If a Receiving Party believes it is required by law to disclose any Information under clause 3(d) above,	0	c
the Receiving Party shall (in each case and to the extent not prohibited in law):	0	d
a.    provide the Disclosing Party with prompt written notice of such requirement or obligation	0	c
(together with a copy of any relevant access request, court order or other evidence giving rise	0	c
© 2016 Energy Technologies Institute LLP. The information in this document is the property of Energy Technologies Institute LLP and may not be copied or communicated to a third	0	e
party or used for any purpose other than that for which it is supplied without the express written consent of Energy Technologies Institute LLP.	0	e
www.eti.co.uk   Delivering the UK’s Future Energy Technologies                                                           3	0	e
Non-Disclosure Agreement                                                           Energy Technologies Institute	0	e
to such belief) in advance of the required disclosure, to enable the Disclosing Party to seek	0	c
appropriate protective relief and/or to take other steps to resist or narrow the scope of any	0	c
required disclosure;	0	s
b.    where it is not permitted in law to notify the requirement for disclosure in advance of the	0	c
required disclosure, notify the Disclosing Party as soon as reasonably practicable after the	0	c
disclosure confirming the nature of and extent of the disclosure; and	0	s
c.    co-operate with the Disclosing Party with respect to such matters,	0	c
and in any event disclose only such Information as it has ascertained, after taking legal advice, it is	0	c
legally compelled to disclose.	88	s
5.      The ETI shall be entitled to disclose or make available any Information it receives from the	0	c
Respondents (or any of them) to:	0	d
a.    such of the ETI Affiliates, and either the ETI’s or the ETI Affiliates’ employees, officers,	0	c
secondees, agents, consultants, sub-contractors, proposed sub-contractors, professional	0	c
advisers and proposed professional advisers where such disclosure is necessary for the	0	c
Purpose, provided that all such aforementioned persons to whom any Information is disclosed	0	c
by the ETI are bound by obligations of confidentiality and the ETI shall be responsible for	0	c
breaches of the obligations by such persons and each ETI Affiliate may enforce this clause in	0	c
accordance with the Contracts (Rights of Third Parties) Act 1999; and	0	s
b.    the Department of Business, Innovation and Skills (or other relevant government department),	0	c
the European Commission and such other bodies and/or individuals (including without limitation	0	c
professional advisers) as may reasonably be required for the notification of, to seek advice in	0	c
relation to, as part of an assessment of, or otherwise in relation to, State aid.	105	s
6.      The ETI shall be entitled to disclose or make available any Information it receives from a Respondent	0	c
to any other Respondent where it is necessary for the Purpose.	0	s
7.      Each Respondent shall be entitled to disclose or make available any Information it receives from the	0	c
ETI or any other Respondent to such of its employees, officers, consultants, sub-contractors,	0	c
proposed sub-contractors, proposed funders, proposed owners or lessors of sites for the Project,	0	c
owners or licensors of Third Party IP and professional advisers where such disclosure is necessary	0	c
for the Purpose provided that all such persons to whom any Information is disclosed are bound by	0	c
written obligations that are no less restrictive than those in this Agreement. The Respondent	0	c
disclosing Information shall be responsible for breaches of the obligations by such persons.	0	s
8.      Each Respondent shall be entitled to disclose or make available any Information it receives from the	0	c
ETI to any other Respondent where it is necessary for the Purpose.	0	s
9.      Each Party as Receiving Party expressly agrees and accepts that except in the case of fraud, no	0	c
representation or warranty, express or implied, is made by the Disclosing Party as to the accuracy,	0	c
completeness, reasonableness or otherwise in respect of the use of the Information, and that neither	0	c
the Disclosing Party or any of its affiliates nor any of its or their respective employees, officers,	0	c
secondees, agents, consultants, sub-contractors and professional advisers (as applicable) shall have	0	c
any liability to the Receiving Party as a result of the Receiving Party’s possession or use of the	0	c
Information.	0	s
10.    The Parties agree that money damages would not be a sufficient remedy for any breach of this	0	c
Agreement and that the Disclosing Party shall be entitled to specific performance and injunctive or	0	c
other equitable relief as a remedy for any such breach. Such remedy shall not be deemed to be the	0	c
exclusive remedy for breach of this Agreement, but shall be in addition to all other remedies available	0	c
at law or equity.	0	s
© 2016 Energy Technologies Institute LLP. The information in this document is the property of Energy Technologies Institute LLP and may not be copied or communicated to a third	0	e
party or used for any purpose other than that for which it is supplied without the express written consent of Energy Technologies Institute LLP.	0	e
