BUSINESS SALE	0	x
NON-DISCLOSURE	0	x
ideology consulting ltd	0	x
AGREEMENT	0	x
7 Ferry Road	0	x
London	0	x
SW13 9RX	0	x
T  0333 939 8010	0	x
E  info@ideologyconsulting.co.uk	0	x
ideologyconsulting.co.uk	0	x
RE: (We will complete the name of the business on receipt of this NDA)	0	x
25 off	0	x
       (“the Business”)	0	x
You have expressed an interest in discussing the acquisition of the above Business (‘the Proposed	0	c
Transaction”). This letter of agreement sets out the terms upon which we will supply information	0	c
to you in respect of the Business in order to enable discussions to take place on an informed basis	0	c
(“the Confidential Information”).	0	s
YOU AGREE WITH US:	0	d
A)  that the Confidential Information shall comprise all information (in whatever form, including	0	c
written, oral or electronic and including material created from such information provided to us	0	c
by you such as notes, reports or analyses) provided by us to you or any third party on our behalf	0	c
in connection with the Proposed Transaction, including the fact that discussions relating to the	0	c
Proposed Transaction are taking place between us.	0	s
B)  to keep the Confidential Information secret at all times	0	s
C)  not to use the Confidential Information in whole or in part, either during or after the discussions	0	c
relating to the Proposed Transaction, for any purpose apart from in connection with our	0	c
discussions relating to the Proposed Transaction.	0	s
D)  to reveal the Confidential Information only to those of your employees or third party advisers	0	c
who need to know in connection with our discussions relating to the Proposed Transaction.	0	s
E)  to take all proper and reasonable measures to ensure the confidentiality and security of the	0	c
Confidential Information at all times.	0	s
F)  to acknowledge that the property and copyright in the Confidential Information belongs to us and	0	c
that no licence or any other right is granted to you in respect of the Confidential Information.	0	s
G)  to destroy immediately on our written request all Confidential Information in your possession	0	c
including any copies made (save where we are required pursuant to some law or enactment	0	c
or regulation or the rules of any Stock Exchange to retain originals or copies of any of the	0	c
Confidential Information).	0	s
H) that we are not required or obliged to disclose any information of any kind to you.	0	s
I)  that no warranty or representation, whether express or implied, is given as to the accuracy,	0	c
completeness, appropriateness or otherwise of the Confidential Information.	0	s
J)  that this agreement does not create any right enforceable by any person who is not a party to it	0	c
and that the Contracts (Right of Third Parties) Act 1999 as amended shall not apply.	18	s
(continued)	0	e
BUSINESS SALE NON-DISCLOSURE AGREEMENT	0	e
(continued)	0	e
In consideration of the said discussions both parties agree:	0	d
1)  that this agreement does not oblige or imply any obligation on either party to enter into any	0	c
transaction or further agreement.	0	s
2)  that this agreement may only be modified or waived by a separate written agreement between	0	c
the parties which specifically and expressly modifies or waives this agreement or part of it.	0	s
3)  that this agreement shall be governed by and construed in accordance with the law of England	0	c
and Wales and the courts of England and Wales shall have exclusive jurisdiction to settle any	0	c
dispute or claim that arises out of or in connection with it or its subject matter or formation	0	c
(including non-contractual disputes or claims)	0	s
4)  that in the event of any term of this agreement being held to be illegal or unenforceable either in	0	c
whole or in part that term shall be deemed not to be part of this agreement but the enforceability	0	c
of the remainder shall be unaffected.	0	s
5)    that any notices under this agreement shall be sent by first-class prepaid post to the address	0	c
of the recipient party as set out in this letter and shall be deemed to have been received on	0	c
the second week day (that is, any day excluding Sundays or public or bank holidays in England)	0	c
following the day on which it was posted.	0	s
6)  that the provisions of this agreement shall last for the duration of the discussions relating to the	0	c
Proposed Transaction and for 2 years following their conclusion.	0	s
7)  that these terms shall not apply where the Confidential Information:	0	d
    7.1  was known to us (by means not importing any requirement of confidentiality or involving a	0	c
breach of confidentiality by a third party) prior to its provision to us;	0	s
    7.2 is in or subsequently comes in to the public domain (through no fault on our part);	0	c
    7.3 is required to be disclosed pursuant to any legal, statutory or regulatory requirement.	-1	s
Signed	0	x
Your Name                                             Position	0	x
Company	0	x
Address	0	x
Postcode	0	x
Telephone Number	0	x
EDT (Electronic document transmissions) Emails with Original Signatures (not electronic) shall be deemed valid and	0	x
enforceable in respect of any provisions of this NDA (Non-Disclosure Agreement).	0	x
EDT documents shall be subject to European Community Directive No. 95/46/EEC, as applicable. Please note that should you	0	x
choose to return the NDA via Email, we respectfully request that the original is returned by post.	0	x
fresh thinking for your business	0	x
