CONFIDENTIALITY AND NON-DISCLOSURE AGREEMENT	0	x
THIS AGREEMENT made effective as of the __ day of _______________, 2016.	0	x
BETWEEN:	0	x
FTI  CONSULTING  CANADA  INC.,  in  its  capacity  as  receiver  and	0	x
manager  (the  "Receiver")  of  Phenomenome  Discoveries  Inc.  and	0	x
Phenomenome  Laboratory  Services  Inc.  (collectively  "Phenomenome"	0	x
or the "Company"), and not in its personal or corporate capacity,	0	x
- and -	0	x
______________________________________	0	x
(the "Recipient")	0	x
WHEREAS:	0	d
A.     The  Receiver  was  appointed,  pursuant  to  an  Order  (the  "Receivership  Order")  of  the	0	c
Honourable Justice B.J. Scherman of the Court of Queen's Bench of Saskatchewan on February	0	c
25, 2016;	0	s
B.     The  Recipient  is  desirous  of  evaluating  a  possible  transaction(s)  (the  "Transaction")  with  or	0	c
involving the assets of the Company and, more particularly, the sale of some or all of the assets,	0	c
properties  and  undertakings  (the  "Assets")  of  the  Company  and,  as  such,  has  obtained  and/or	0	c
will  from  time  to  time  hereafter  obtain,  certain  information  relating  to  the  assets,  undertaking,	0	c
properties and business of the Company;	0	s
C.     The Receiver is willing to make certain Confidential Information available to the Recipient for the	0	c
sole  purpose  of  permitting  the  Recipient  to  consider,  evaluate,  and  if  a  Transaction  proceeds,	0	c
implement a Transaction (the "Permitted Purpose") all subject to the terms and conditions of this	0	c
Agreement (as defined below);	0	s
D.     As a pre-condition to the Receiver, its representatives or agents providing information concerning	0	c
the  Company  and  the  Assets  to  the  Recipient,  the  Receiver  requires,  and  the  Recipient  has	0	c
agreed, to execute and deliver to the Receiver, a confidentiality agreement in form and substance	0	c
satisfactory to the Receiver;	-1	s
NOW,  THEREFORE,  in  consideration  of  these  premises,  and  other  good  and  valuable	0	c
consideration, the receipt  and sufficiency  of which consideration  is hereby acknowledged, the Recipient	0	c
covenants and agrees with the Receiver as follows:	0	d
1.      Definitions	0	d
(a)     "Affiliate"  means,  as  to  any  Person,  any  other  Person  which,  directly  or  indirectly,	0	c
controls, or is controlled by, or is under common control  with, such Person and,  for this	0	c
