Johns Hopkins University	0	x
NON-DISCLOSURE AGREEMENT	0	x
For Bilateral Disclosure	0	x
This Agreement is effective this          of                        in the year ______ is by and	0	c
between JHU and COMPANY, each defined below.	0	s
JHU:                            The Johns Hopkins University	0	x
Address:                        100 N. Charles St., 5th Floor	0	x
Baltimore, Maryland 21201	0	x
JHU Contact:	0	x
COMPANY:	0	x
Address:	0	x
COMPANY Contact:	0	x
WHEREAS, each party has certain technical information described below which shall	0	c
hereinafter be referred to as "CONFIDENTIAL INFORMATION";	0	s
CONFIDENTIAL	0	x
INFORMATION:	0	x
WHEREAS, JHU and COMPANY are each interested in examining the CONFIDENTIAL	0	c
INFORMATION of the other solely for the PURPOSE, defined below;	0	d
PURPOSE:          To explore licensing, collaborative or sponsored research	0	c
agreement opportunities related to the CONFIDENTIAL	0	c
INFORMATION.	-1	s
NOW, THEREFORE, in consideration of the premises and mutual covenants contained	0	c
herein, the parties hereto agree as follows:	0	d
”PROVIDER” shall mean the party hereto disclosing CONFIDENTIAL INFORMATION to	0	c
the RECIPIENT party.	0	s
“RECIPIENT” shall mean the party receiving CONFIDENTIAL INFORMATION from the	0	c
PROVIDER party.	0	s
           1.      PROVIDER, through its employee, the PROVIDER Contact, shall disclose	0	c
CONFIDENTIAL INFORMATION to RECIPIENT, through its employee, the RECIPIENT Contact,	0	c
to enable RECIPIENT to fully evaluate such disclosure solely for the PURPOSE.	0	c
CONFIDENTIAL INFORMATION shall be indicated as confidential at the time of disclosure.	0	s
2.     RECIPIENT agrees to accept the CONFIDENTIAL INFORMATION and to employ	0	c
all reasonable efforts to maintain the CONFIDENTIAL INFORMATION as secret and	0	c
Page 1 of 3	0	e
confidential, such efforts to be no less than the degree of care employed by RECIPIENT to	0	c
preserve and safeguard RECIPIENT's own confidential information.  The CONFIDENTIAL	0	c
INFORMATION shall not be disclosed or revealed to anyone except employees of RECIPIENT	0	c
who have a need to know the CONFIDENTIAL INFORMATION for the PURPOSE and  who	0	c
agree to be bound by the terms of this Agreement.	0	s
3.     It is hereby acknowledged by PROVIDER that RECIPIENT shall incur no liability	0	c
merely for examining and considering the CONFIDENTIAL INFORMATION.  However,	0	c
RECIPIENT agrees that it will not use the CONFIDENTIAL INFORMATION for any purpose	0	c
other than the PURPOSE without the prior written consent of PROVIDER.	0	s
4.     RECIPIENT‘s obligations under Paragraphs 2 and 3 above shall not extend to	0	c
any part of the CONFIDENTIAL INFORMATION:	0	d
(a)    that can be demonstrated to have been in the public domain or publicly known	0	c
and readily available to the trade or the public prior to the date of the disclosure;	0	c
or	0	s
(b)    that can be demonstrated, from written records, to have been in RECIPIENT's	0	c
possession or readily available to RECIPIENT from another source not under	0	c
obligation of secrecy to PROVIDER prior to the disclosure;  or	0	s
(c)     that becomes part of the public domain or publicly known by publication or	0	c
otherwise, not due to any unauthorized act by RECIPIENT; or	0	s
(d)    that is subsequently disclosed to RECIPIENT by a third party who is not under an	0	c
obligation of confidentiality to PROVIDER; or	0	s
(e)    that is required by any law, regulation, or order of court to be disclosed by	0	c
RECIPIENT. Prior to disclosing proprietary or CONFIDENTIAL INFORMATION of	0	c
the PROVIDER, the RECIPIENT shall first notify and provide it an opportunity to	0	c
prevent disclosure.	45	s
5.     RECIPIENT's obligations under Paragraphs 2 and 3 shall extend for a period of	0	c
five (5) years from the effective date of this Agreement.	0	s
6.     It is understood that nothing herein shall be deemed to constitute, by implication	0	c
or otherwise, the grant to RECIPIENT of any license or other rights under any patent, patent	0	c
application, or other intellectual property right or interest belonging to PROVIDER, or as	0	c
permitting RECIPIENT to unfairly obtain the right to use any CONFIDENTIAL INFORMATION	0	c
which becomes publicly known through an improper act or omission on its part.	0	s
            7.         Neither party shall use the name of the other or any contraction or derivative	0	c
thereof or the name(s) of the other party's faculty members, employees, or students, as	0	c
applicable, in any advertising, promotional, sales literature, or fundraising documents without	0	c
prior written consent from the other party.	0	s
Page 2 of 3	0	e
            8.         The terms of this Agreement supersede any previous non-disclosure agreements	0	c
or any other preliminary representations or understandings that have been entered into by the	0	c
parties to this Agreement with regard to the subject CONFIDENTIAL INFORMATION.	0	c
We agree to examine and consider the subject matter of the CONFIDENTIAL	0	c
INFORMATION on the foregoing basis.	-1	s
THE JOHNS HOPKINS UNIVERSITY                        COMPANY	0	x
By:        _____________________________                By:      _______________________	0	x
Printed:     _____________________________               Printed:   _______________________	0	x
(Name)                                                                                (Name)	0	x
Title:      _____________________________               Title:     _______________________	0	x
Date:      _____________________________                Date:    _______________________	0	x
AGREED AND ACCEPTED:	0	x
JHU Contact                                                      COMPANY Contact	0	x
By:                                                                  By:      ______________________	0	x
Printed:                                                             Printed:   ______________________	0	x
(Name)                                                                                    (Name)	0	x
Title:                                                                Title:     ______________________	0	x
Date:                                                               Date:   _______________________	0	x
