MUTUAL CONFIDENTIALITY & NON-DISCLOSURE AGREEMENT	0	x
THIS  MUTUAL  CONFIDENTIALITY  &  NON-DISCLOSURE  AGREEMENT  (this	0	c
“Agreement”) is entered into as of this ____ day of ____________, 201__ (the “Effective Date”), by and	0	c
between HICO America Sales & Technology, Inc., a Pennsylvania corporation with its principal offices	0	c
located  at  Three  Penn  Center  West,  Suite  300,  Pittsburgh,  Pennsylvania  15276  (“HICO”),  and	0	c
___________________________,  a  _______________________________  with  its  principal  offices	0	c
located at ______________ (“__________”).	0	s
WHEREAS, HICO and ______________ desire to exchange certain Confidential Information (as	0	c
defined  below)  for  the  purpose  of  internal  review  in  relation  to  the  consideration  of  a  potential  business	0	c
relationship or transaction (the “Purpose”);	0	s
WHEREAS, to facilitate such discussions, HICO and ____________ (each, in such instance, the	0	c
“Disclosing  Party”)  may  disclose  to  one  another  (each,  in  such  instance,  the  “Receiving  Party”)	0	c
confidential and proprietary information regarding the Disclosing Party’s business; and	0	s
WHEREAS, HICO and ____________ are entering into this Agreement to define their respective	0	c
rights  and  obligations  with  respect  to  any  confidential  and  proprietary  information  exchanged  between	0	c
them.	0	s
NOW  THEREFORE,  in  consideration  of  the  premises  hereof  and  following  covenants  and	0	c
agreements,  and  intending  to  be  legally  bound  hereby,  HICO  and  _____________  hereby  agree  as	0	c
follows:	0	d
1.      Confidential  Information.    “Confidential  Information”  as  used  in  this  Agreement  means	0	c
all information regarding a Disclosing Party’s business disclosed or made available to a Receiving Party	0	c
by  a Disclosing  Party,  or otherwise  acquired  by  Receiving  Party,  in  connection with  the  Purpose  of  this	0	c
Agreement,  including,  without  limitation,  any  information  relating  to  a  Disclosing  Party’s  business,	0	c
products,  technology,  data,  engineering  data  or  drawings,  software  (including  all  algorithms,  methods,	0	c
techniques  and  processes  revealed  by  such  software),  customers,  customer  lists,  customer  needs  and	0	c
requirements,  documentation,  training  materials,  vendors,  intellectual  property,  marketing,  financial,	0	c
projections,  trade  secrets,  proprietary  information  or  other  information,  whether  in  electronic,  oral  or	0	c
written form, and all notes, analyses, compilations, studies or other documents prepared by the Receiving	0	c
Party  which  contain  or  reflect  such  information.    The  existence  of  the  Purpose  of  this  Agreement,  this	0	c
Agreement  and  the  terms  contained  herein  shall  be  deemed  to  be  Confidential  Information  under  this	0	c
Agreement.    Confidential  Information  does  not  include  information  that  (a)  is  or  becomes  generally	0	c
available to the public other than as a result of disclosure by the Receiving Party, (b) was in the Receiving	0	c
Party’s  possession  free  from  any  obligation  of  confidence  at  the  time  it  was  communicated  to  the	0	c
Receiving  Party  by  the  Disclosing  Party,  (c)  becomes  available  to  the  Receiving  Party  on  a  non-	0	c
confidential  basis  from  a  source  other  than  the  Disclosing  Party,  provided  that  such  source  is  not	0	c
prohibited  from  transmitting  such  information  by  a  contractual,  legal,  or  other  obligation,  or  (d) it  was	0	c
developed by employees or agents of the Receiving Party independently of and without reference to any	0	c
information communicated to the Receiving Party by the Disclosing Party.	0	s
2.      Non-Use;  Protection  and  Dissemination  of  Confidential  Information.    Each  party  hereto	0	c
agrees not to use the Confidential Information received by such party as a Receiving Party other than for	0	c
