NON-DISCLOSURE AGREEMENT	0	x
THIS AGREEMENT	0	x
BETWEEN	0	x
GWI Project Managers, Company Registration Number: ..........................................................................;	0	x
AND	0	x
........................................................., Company Registration Number: .................................................	0	x
collectively referred to as the "Parties".	0	x
1.      Purpose	0	d
1.1      The parties intend to provide each other with certain information of the Technology Hubs in secret	0	c
and confidential nature pertaining to their business proposal and/or its operations.	0	s
1.2     The  parties  wish  to  record  the  terms  and  conditions  upon  which  each  shall  disclose  confidential	0	c
information  to  the  other,  which  terms  and  conditions  shall  constitute  a  binding  and  enforceable	0	c
agreement between the parties and/or their agents/representatives.	0	s
1.3     This  agreement  shall  also  bind  the  parties,  notwithstanding  the  date  of  signature  hereof,  in  the	0	c
event that either party shall have disclosed any confidential information to the other party prior to	0	c
date of signature hereof.	0	s
1.4     For  the  purpose  of  this  agreement  the  party  which  discloses  confidential  information  shall  be	0	c
referred to as “the disclosing party” and the party which receives the confidential information shall	0	c
be referred to as “the receiving party”.	8	s
2.      Designation	0	d
2.1      Information,  documents,  software,  objects  and  other  materials  to  be  kept  secret  (hereinafter:	0	c
"confidential information") shall be designated  as such in writing by the disclosing party. Written	0	c
designation  shall  be  in  the  form  of  an  unmistakable  annotation  such  as  secret,  confidential,  for	0	c
restricted internal access only, etc. Orally given information need only be kept secret if designated as	0	c
confidential information at the time of its disclosure and  supplied in addition within 14 (fourteen)	0	c
days to the receiving party in summarised written form marked as confidential.	20	s
3.      Confidentiality Obligation	0	d
3.1     All confidential information made available by one party to the other shall be kept secret from third	0	c
parties.	0	s
3.2     No confidential information received may be supplied to a third party without the prior written	0	c
permission of the other party hereto.	0	s
3.3     Beyond this, each party also undertakes as follows:	0	d
3.3.1    not to use the confidential information of the other party for any purposes other than the	0	c
purpose contemplated by this agreement;	0	s
3.3.2    not to modify or reconstruct, cause others to reconstruct or use for any purposes other	0	c
than the purpose contemplated by this agreement, any object made available to it by the	0	c
other party.	27	s
4.      Exceptions	0	d
4.1      The obligation to observe secrecy under this Agreement shall not apply to:	0	d
4.1.1    information, documents (including information and documents in machine-readable form),	0	c
software, objects and other materials  that is generally available to the public, or become	0	c
generally available to the public other than as a breach of this Non-disclosure Agreement;	0	s
4.1.2    information that is already lawfully in the possession of one of the parties hereto prior to	0	c
the effective date of this Non-disclosure Agreement, without having been obtained from	0	c
the other party or one of its affiliated companies;	0	s
4.1.3    information  that  is  received  by  one  of  the  parties  hereto  from  a  third  party  after  the	0	c
effective date of this Non-disclosure Agreement, provided this third party has not violated	0	c
any Non-disclosure Agreement;	0	s
4.1.4    information the publication of which is required by statute and/or common law;	0	c
4.1.5    information that the receiving party, as evidenced  by written records, has independently	0	c
acquired or developed;	39	b
Nevertheless, each party shall keep the use of the information by the other party secret from third parties.	38	s
5.      Disclosure to Employees and Affiliated Companies	0	d
5.1     Each  party  shall  make  available  confidential  information  to  its  employees  only  in  so  far  as  the	0	c
employees need it to fulfil the purpose as set out in 1. above. It will ensure that these employees are	0	c
equally  obliged  to  observe  secrecy,  whereby  the  obligation  shall  survive  the  termination  of  their	0	c
respective employment contracts.	0	s
5.2     Disclosure of confidential information to affiliated companies is permitted under the conditions laid	0	c
out in 5.1 above.	53	s
6.        No License	0	d
6.1     The intellectual property rights (where applicable) relating to any confidential information disclosed	0	c
in terms of this agreement shall remain the property of the Disclosing Party and the disclosure shall	0	c
not confer any license or right to such information on the Recipient.	60	s
7.        Governing Law	0	d
7.1      This Agreement shall be construed in accordance with and governed by the laws of the Republic of	0	c
South Africa.	64	s
8.      Place of Jurisdiction	0	d
8.1    The parties hereby submit to the non-exclusive jurisdiction of the Durban and Coastal Local Division	0	c
of the High Court of South Africa. Place of jurisdiction for all disputes arising from or in connection	0	c
with this Agreement shall be Durban, South Africa.	67	s
9.      Liabilities	0	d
9.1    Any  claim  for  damages  to  be  limited  to  actual  damages.  The  parties  shall  not  be  liable  for  any	0	c
consequential or indirect damages, including but not limited to loss of profits, goodwill or customs.	71	s
10.       Written Form	0	d
10.1   No oral side agreements have been made. Any changes or additions to this Agreement must be	0	c
made in writing to be effective. The written form requirement shall not be fulfilled by the use of	0	c
emails.	74	s
11.      Addresses	0	d
11.1     For the purpose of this agreement, the parties choose their domicilia citandi et executandi and	0	c
postal addresses as follows:	0	d
11.1.1    GWI Project Managers, Physical:      41 Richefond Circle	0	a
Ridgeside Office Park	0	a
Umhlanga	0	a
DURBAN	0	a
South Africa	0	a
Postal:   P.O. Box 4027	0	a
The Square	0	a
4021	0	s
11.1.2  ............                 Physical:  .........................................,	0	a
.........................................	0	a
Postal:  ..........................................	0	s
11.1.3   Any party may change that party’s address, by prior notice in writing to the other party.	0	s
11.1.4   If any notice is to be sent by mail, it shall be sent by prepaid registered mail and  shall then	0	c
be  deemed  until  and  unless  the  contrary  is  proved,  to have been  received  10  (ten)  days	0	c
after the date of posting.	0	s
11.1.5   If any notice is sent by telefax, it will be deemed, until and unless the contrary is proved, to	0	c
have been received on the date recorded on the transmission slip.	0	s
11.1.6   If any notice is delivered by hand, it will be deemed to have been received on proof of the	0	c
date of delivery.	-1	s
Signed at        on this the       day of                               2015	0	x
Signature:	0	x
Name:	0	x
for ...........................................................	0	x
Duly authorised	0	x
Signed at                                                                 on this the                            day of                                                 2015	0	x
Signature:	0	x
Name:	0	x
for GWI Project Managers.	0	x
Duly authorised	0	x
