NON-DISCLOSURE AGREEMENT	0	x
This Agreement is entered into by and between:	0	d
__________________________,     having     its     principal     place     of     business     at	0	c
________________________________  (“Company”),  herein  represented  by  _______________  duly	0	c
authorized to sign the present agreement on behalf of Company as s/he so declares;	2	c
AND	0	d
CONCORDIA UNIVERSITY, a corporation duly incorporated by the  Concordia University Act, S.Q.	0	c
1948, c. 91 as amended by S.Q. 1959-60, c. 191 and S.Q. 2006, c. 69 having its head office at 1455 de	0	c
Maisonneuve Blvd. West, City of Montreal, Province of Quebec H3G 1M8, (“Concordia”) herein acting	0	c
and  represented  by  Dr.  Justin  Powlowski,  Associate  Vice-President  Research,  Strategic  Initiatives  and	0	c
Partnerships, duly authorized to sign the present Agreement on behalf of University, as he so declares.	6	b
Hereinafter individually referred to as a “Party” and collectively as the “Parties”.	0	s
WHEREAS  the  Parties  wish  to  exchange  information  for  the  sole  purpose  of  [DESCRIPTION  OF	0	c
PURPOSE FOR WHICH INFORMATION IS TO BE EXCHANGED] (the “Purpose”); and	0	s
WHEREAS the Parties desire to protect the confidentiality of such information;	0	s
NOW THEREFORE in consideration of the mutual covenants and obligations contained herein and other	0	c
good and valuable consideration, the receipt and sufficiency of which are hereby acknowledged, the Parties	0	c
agree as follows:	0	d
1.      DEFINITIONS	0	d
In this Agreement, the following terms will have the following meanings:	0	d
“Affiliate” means any legal entity that a Receiving Party Controls, is Controlled by, or with which it is	0	c
under common Control, where Control means to own or control, directly or indirectly, over 50% of voting	0	c
shares.	0	s
“Business  Day”  means  any  day  other  than  a  Saturday,  Sunday  or  statutory  holiday  in  the  Province  of	0	c
Quebec;	0	s
“Confidential Information” means any information which is confidential in nature or that is treated as	0	c
confidential by a Party and that is furnished or transferred by or on behalf of such Party (the “Disclosing	0	c
Party”) to  the  other  Party  (the  “Receiving Party”), whether such  information  is  or  has been  conveyed	0	c
verbally or in written or tangible form, and whether such information is acquired directly or indirectly such	0	c
as in the course of discussions, site visits or other investigations by the Receiving Party, including but not	0	c
limited  to,  scientific,  technical,  financial  or  business  information,  data,  ideas,  concepts  or  know-how,	0	c
formula, analysis, process, design, sketch, photograph, plan, drawing, specification, sample, report, study,	0	c
finding,  prototype  and  non-published  patent  applications,  that  are  considered  and  treated  as  being	0	c
