WECC Confidentiality Agreement	0	x
This WECC Confidentiality Agreement (“Agreement”) is entered into by __________________________	0	c
(“Data Recipient”) and is effective as of the date agreed to by Data Recipient.  Data Recipient agrees to	0	c
the following terms and conditions pertaining to Non-Public Information.	0	s
1.  Non-Public Information	0	d
a.  Non-Public Information shall include any and all information Data Recipient receives from	0	c
WECC, including, but not limited to, information received through a login to the WECC	0	c
website, which:	0	d
i.  Is designated as “Confidential Information” or “Market Sensitive Information” or is	0	c
otherwise considered non-public under the WECC Information Sharing Policy;	0	s
ii.  Meets the definition of Confidential Information as set forth in Section 1500 of the North	0	c
American Electric Reliability Corporation Rules of Procedure; or	0	s
iii.  Is identified by WECC as non-public or confidential at the time of disclosure.	8	s
b.  For the purposes of this Agreement, Non-Public Information shall not include:	0	d
i.  Information that is or becomes available in the public domain through no fault or action of	0	c
Data Recipient;	0	s
ii.  Information that was or is acquired by Data Recipient from a source other than WECC in a	0	c
manner which is not otherwise subject to confidentiality restrictions; or	0	s
iii.  Information that was or is independently developed by Data Recipient as demonstrated by	0	c
Data Recipient’s documentation.	5	s
2.  Treatment of Non-Public Information	0	d
a.  Data Recipient agrees to take all necessary precautions to maintain the confidentiality of the	0	c
Non-Public Information and to prevent unauthorized access to it.	0	s
b.  Data Recipient agrees to not make available, disclose, provide or communicate Non-Public	0	c
Information to any entity or individual, except:	0	d
i.  Employees of Data Recipient who (1) have signed an acknowledgment of this Agreement or	0	c
a non-disclosure agreement that covers the Non-Public Information and is at least as	0	c
restrictive as this Agreement, and (2) need the Non-Public Information for performance of a	0	c
job function subject to the limitation on Market Sensitive Information below;	0	s
ii.  Contractors of Data Recipient who (1) have signed a non-disclosure agreement that covers	0	c
the Non-Public Information and is at least as restrictive as this Agreement, and (2) need the	0	c
Non-Public Information for the work being performed subject to the limitation on Market	0	c
Sensitive Information below. In the event Data Recipient shares Non-Public Information	0	c
WECC Confidentiality Agreement	0	e
with a contractor pursuant to this provision, Data Recipient agrees to be responsible and	0	c
jointly and severally liable for any breach of confidentiality by that contractor;	0	s
iii.  As required by FERC orders, rules or regulations, provided that additional data recipients	0	c
have signed a non-disclosure agreement that covers the Non-Public Information and is at	0	c
least as restrictive as this Agreement; or	0	s
iv.  As may be otherwise agreed to by WECC in writing.	21	s
3.  Market Sensitive Information	0	d
a.  Data Recipient agrees not to provide or disclose any Market Sensitive Information as identified	0	c
in the WECC Information Sharing Policy to any person who is (1) a Market Function Employee	0	c
as defined by the FERC Standards of Conduct, or (2) actively and personally engaged in day-to-	0	c
day sales of electric power or other electric power marketing functions.	41	s
4.  Compelled Disclosures	0	d
a.  Notwithstanding anything to the contrary herein, Data Recipient may disclose Non-Public	0	c
Information to a governmental authority as required by law, provided that to the extent	0	c
permitted by law:	0	d
i.  Data Recipient notifies WECC as soon as reasonably possible of the required disclosure;	0	s
ii.  Data Recipient does not disclose the Non-Public Information until WECC has had a	0	c
reasonable opportunity to respond to the required disclosure; and	0	s
iii.  Data Recipient cooperates with WECC as reasonably requested by WECC to protect	0	c
WECC’s interests in the Non-Public Information.	49	s
b.  If Data Recipient is an entity subject to state or federal freedom of information laws or an	0	c
employee of such an entity, Data Recipient certifies that the Non-Public Information is eligible	0	c
for restriction from public disclosure and agrees to:	0	d
i.  Restrict the Non-Public Information from public disclosure;	0	s
ii.  Notify WECC as soon as reasonably possible of any request for the Non-Public Information;	0	c
and	0	s
iii.  Cooperate with WECC as reasonably requested by WECC to protect WECC’s interests in the	0	c
Non-Public Information.	46	s
5.  Disclaimer and Limitations	0	d
a.  Neither WECC nor any owner or submitter of the Non-Public Information makes any	0	c
representation or warranty as to the completeness, accuracy, relevance, or usability of the Non-	0	c
Public Information. All Non-Public Information made available to Data Recipient is made	0	c
available AS IS AND WITHOUT WARRANTY, EXPRESS OR IMPLIED.	0	s
b.  There is no obligation on the part of WECC or any owner or submitter of the Non-Public	0	c
Information to supplement, update, or correct any Non-Public Information, even if the Non-	0	c
Public Information is supplemented, updated, or corrected for other purposes.	0	s
 2	0	e
WECC Confidentiality Agreement	0	e
c.  Use of the Non-Public Information is at Data Recipient’s own risk. Neither WECC nor the	0	c
owner or submitter of the Non-Public Information shall be liable for any damages arising out of	0	c
the use of the Non-Public Information.	63	s
6.  Changes in Employment	0	d
a.  If at any time during the term of this Agreement Data Recipient or an employee of Data	0	c
Recipient ceases to be employed by his or her then current employer, Data Recipient agrees to	0	c
notify WECC within five (5) business days of the change in employment.	0	s
b.  If at any time during the term of this Agreement Data Recipient or an employee of Data	0	c
Recipient has a change in job responsibilities such that Data Recipient or an employee of Data	0	c
Recipient becomes a Market Function Employee, Data Recipient agrees to notify WECC within	0	c
five (5) business days of the change in employment and to ensure that Data Recipient or such an	0	c
employee of Data Recipient discontinues accessing or using any Market Sensitive Information	0	c
as identified in the WECC Information Sharing Policy.	76	s
7.  Term and Termination	0	d
a.  This Agreement shall continue in effect until terminated. This Agreement may be terminated by	0	c
WECC or Data Recipient at any time at their sole discretion.	0	s
b.  Upon any termination of this Agreement, Data Recipient shall return to WECC all Non-Public	0	c
Information in Data Recipient’s possession or destroy all Non-Public Information in Data	0	c
Recipient’s possession and certify to WECC in writing that all Non-Public Information has been	0	c
returned or destroyed, except as may be otherwise required by law in which case the	0	c
confidentiality obligations of this Agreement shall survive termination.	86	s
8.  Miscellaneous Terms	0	d
a.  This Agreement does not require WECC to disclose any Non-Public Information. Neither this	0	c
Agreement nor any disclosure of Non-Public Information grant Data Recipient any intellectual	0	c
property rights or licenses to such information. Data Recipient agrees to comply with all	0	c
applicable United States export laws and regulations.	0	s
b.  This Agreement represents the entire understanding between WECC and Data Recipient related	0	c
to the Non-Public Information and supersedes all previous communications between WECC	0	c
and Data Recipient related to this subject. This Agreement can only be modified by written	0	c
agreement executed by WECC and Data Recipient. Data Recipient may not delegate its duties	0	c
or obligations under this Agreement without prior written consent from WECC. Any attempt to	0	c
do so is void.	0	s
c.  This Agreement shall be for the sole benefit of WECC and any owner or submitter of the Non-	0	c
Public Information. This Agreement shall be fully enforceable by WECC and any entity whose	0	c
Non-Public Information is not treated in accordance with this Agreement.	0	s
 3	0	e
WECC Confidentiality Agreement	0	e
d.  If any term or provision of this Agreement is held by a body of competent jurisdiction to be	0	c
invalid, void, or unenforceable, then (1) the remaining provisions of the Agreement shall	0	c
continue in full force and effect, and (2) in lieu of each such term or provision there shall be	0	c
added as part of this Agreement a clause or provision as similar in terms as possible that is	0	c
legal, valid and enforceable.	-1	s
IN WITNESS HEREOF, Data Recipient has read and understands this Agreement and enters into this	0	c
Agreement voluntarily, wishing to be legally bound.	-1	s
Data Recipient	0	x
Signature:   _________________________________________	0	x
Printed:   ___________________________________________	0	x
Company:  _________________________________________	0	x
Title:    _____________________________________________	0	x
Date:   _____________________________________________	0	x
Email:  _____________________________________________	0	x
 4	0	x
