NON-DISCLOSURE AGREEMENT	0	x
This Agreement is made by and between	0	c
___________________________________________ of (primary place of residence) ______________________________	0	c
__________________________________________________________________________________________ (“Recipient”)	0	c
and Q Society of Australia Inc, Suite 13/4, 150 Albert Road, South Melbourne, Victoria, Australia  (“Society”).	0	s
1.            Definition of Confidentiality. As used in this Agreement, "Confidential Information" refers to any	0	c
information which entails personal details of fellow members, supporters, associates such as names, addresses,	0	c
telephone  numbers  and  other  contact  details  as  well  as  operational  manuals,  methods,  computer  software,	0	c
works of art, drafts and designs, financial data, places of meetings, secrets and other proprietary information	0	c
related to the past, current, future and proposed activities of  the Society, and any other information which is	0	c
privileged, proprietary and confidential.	0	s
2.            Nondisclosure  and  Nonuse  Obligations.  Recipient  will  maintain  in  confidence  and  will  not	0	c
disclose, disseminate or use any Confidential Information belonging to and/or related to Society, whether or not	0	c
in written form.  Recipient agrees that Recipient shall treat all Confidential Information of the Society with at	0	c
least  the  same  degree  of  care  as  Recipient  accords  its  own  confidential  information.    Recipient  further	0	c
represents that Recipient exercises at least reasonable care to protect its own confidential information.	0	s
3.               Survival.    This  Agreement  shall  govern  all  communications  between  the  parties.    Recipient	0	c
understands that its obligations under Paragraph 2 ("Nondisclosure and Nonuse Obligations") shall survive the	0	c
termination of any other relationship between the parties.  Upon termination of any relationship between the	0	c
parties, Recipient will promptly deliver to the Society, without retaining any copies, all documents and other	0	c
materials furnished to Recipient by the Society.	0	s
4.            Governing  Law.    This  Agreement  shall  be  governed  in  all  respects  by  the  laws  of  the	0	c
Commonwealth of Australia and by the laws of the State of Victoria; as such laws are applied to agreements	0	c
entered into and to be performed entirely within Australia.	0	s
5.            Injunctive Relief.  A breach of any of the promises or agreements contained herein will result in	0	c
irreparable and continuing damage to the Society for which there will be no adequate remedy at law, and the	0	c
Society  shall  be  entitled  to injunctive relief and/or a decree for specific performance, and such other relief as	0	c
may be proper (including monetary damages if appropriate).	0	s
6.            Entire  Agreement.    This  Agreement  constitutes  the  entire  agreement  with  respect  to  the	0	c
Confidential  Information  disclosed  herein  and  supersedes  all  prior  or  contemporaneous  oral  or  written	0	c
agreements  concerning  such  Confidential  Information.    This  Agreement  may  only  be  changed  by  mutual	0	c
agreement between the parties in writing.	0	s
IN WITNESS WHEREOF, the parties have executed this Agreement as of the date first written below.	0	s
_____ / ________________ / 20 _____                                _____ / ________________ / 20 _____	0	x
FOR Q SOCIETY OF AUSTRALIA INC:                                 RECIPIENT:	0	x
By:  ___________________________                                By: ____________________________	0	x
Name: _________________________                               Name: __________________________	0	x
Title: __________________________                               Title: ___________________________	0	x
