SUPPLIER NON-DISCLOSURE AGREEMENT	0	x
The undersigned individual or  entity (“Supplier”) is, or may become a  supplier of goods or	0	c
services (“Supplies”) to KSR International Co. or an affiliated or related entity (jointly and severally	0	c
referred  to  as  “Company”)  for  use  by  Company  in  its  general  business  activities  and/or  in  the	0	c
provision of its own goods and services to its customers (“Company Products”).  Company may have	0	c
provided  and  may  provide  Confidential  Information  to  Supplier  to  enable  Supplier  to  make  a	0	c
proposal to provide Supplies to Company and/or to provide Supplies to Company.  Company was not	0	c
and  is  not  willing  to  recognize  Supplier  as  a  potential  or  an  approved  source  for  Supplies  and  to	0	c
provide  Confidential  Information  to  Supplier,  unless  Supplier  was,  and  is  restricted  in  its  use  of	0	c
Company’s Confidential Information.	0	s
NOW,  THEREFORE,  and  in  consideration  of  such  acceptance  and  disclosures  and  of	0	c
Company’s  reliance  on  the  terms  of  this  Supplier  Non-Disclosure  Agreement  (“Agreement”),	0	c
Supplier promises and agrees that:	0	d
1.     Confidential Information.	0	d
A.     “Confidential  Information”  means  all  trade  secrets,  proprietary	0	c
information, know-how, and confidential information of Company including but not limited to:	0	c
(i) any and all technical, business or financial information or property, owned by or licensed to	0	c
Company, or otherwise relating to Company and/or any of its subsidiaries, affiliates and related	0	c
entities  which  is  heretofore  or  hereinafter  disclosed  to  Supplier,  including  but  not  limited  to	0	c
information  regarding  Company’s  goods  or  services,  processes,  personnel,  finances,  business	0	c
plans,  studies,  analyses,  projections,  research,  market  data,  operations,  apparatus,  computer	0	c
software,  know-how,  trade  secrets,  inventions,  equipment,  tools,  molds,  dies,  fixtures,  parts,	0	c
prototypes, samples, drawings, test results, material and manufacturing specifications, suppliers,	0	c
customers,  employees,  processes,  licensing  and  any  other  ideas  or  information  relating  to	0	c
Company’s  business  or  Company  Products,  the  Supplies  or  any  business  or  activity  in  which	0	c
Company is engaged, regardless of the form of disclosure, whether or not disclosed in a writing	0	c
marked “Confidential” or in some similar manner or identified as confidential; (ii) improvements	0	c
derived  by  Supplier  from  the  information  identified  in  Subsection  l(A)(i)  or  from  access  to	0	c
Company’s  facilities;  and  (iii)  any  and  all  software,  reports,  memoranda,  documents,	0	c
developments,  or  other  results  produced  by  Supplier  in  the  performance  of  providing  Supplies	0	c
that are directly related to Company’s business and not primarily to general technology used by	0	c
Supplier in the conduct of its core business.	0	s
B.     Confidential Information shall not include any information which:  (a) was	0	c
known  to  Supplier  at  the  time  of  disclosure  as  evidenced  by  Supplier’s  written  records;  or  (b)	0	c
after  disclosure  by  Company,  is  lawfully  obtained  by  Supplier  from  a  third  party  who  has  the	0	c
right  to  disclose  such  information  to  Supplier;  or  (c)  legally  enters  the  public  domain  or  is	0	c
generally  available  to  the  public  other  than  by  an  unauthorized  act  by  Supplier  or  the  party  to	0	c
which  such  information  was  originally  disclosed;  provided,  however,  Confidential  Information	0	c
which  is  composed  of  a  combination,  compilation  or  sequential  arrangement  of  individual	0	c
elements or features which individual elements are available to the general public or are or were	0	c
known or become known to Supplier, shall be considered Confidential Information with respect	0	c
to such combination, compilation or sequential arrangement.	0	s
(12/07/09)	0	e
C.     All  Confidential  Information  is  acknowledged  by  Supplier  to  be  the	0	c
property  or  an  otherwise  protectible  interest  of  Company  or  its  licensors  whether  or  not  it	0	c
constitutes a trade secret.	14	s
2.     Protection of Confidential Information.	0	d
A.     Supplier  shall  use  Confidential  Information  only  to  assist  Supplier  in	0	c
making proposals to provide Supplies to Company and in providing Supplies to Company under	0	c
Company’s  purchase  orders  or  other  written  agreements.    Supplier  shall  not  use  or  disclose	0	c
Confidential Information except as required by the performance of its obligations to Company.	0	c
Supplier  shall  disclose  Confidential  Information  only  to  those  employees  of  Supplier  who  (a)	0	c
must have the specific Confidential Information either for the development, production, testing	0	c
and provision of Supplies or to decide whether to develop or supply the Supplies to Company;	0	c
and (b) have signed this Agreement (or a similar agreement) binding such employees personally	0	c
to the terms of this Agreement during and after their employment with Supplier.  Supplier shall	0	c
not  disclose  Confidential  Information  to  any  third  party,  including  Supplier’s  related  entities,	0	c
without the prior written consent of Company and the written agreement of third parties binding	0	c
them to the terms of this Agreement.	0	s
B.     Supplier shall not duplicate or summarize the Confidential Information to	0	c
any third party, without the prior written consent of Company.  Supplier shall not decompile or	0	c
reverse  engineer  Company  Products  and  any  information  resulting  from  any  decompiling  or	0	c
reverse engineering shall be deemed to be Confidential Information of Company.	0	s
C.     The  Confidential  Information,  and  all  copies,  summaries,  notes,  and	0	c
computations  related  thereto,  shall  be  delivered  by  Supplier  to  Company  within  48  hours  of	0	c
demand.	0	s
D.     In  addition,  Supplier  shall  take  all  reasonable  precautions  to  protect  the	0	c
Confidential Information from unauthorized access and use, but not less than used by Supplier to	0	c
protect its own most valuable information.	0	s
