KHRONOS GROUP	0	x
MUTUAL NON-DISCLOSURE AGREEMENT	0	x
This agreement enables an entity and Khronos to exchange confidential	0	x
information with each other and other signatories to this NDA,	0	x
including Khronos members	0	x
PLEASE TYPE OR PRINT CLEARLY: THIS IS A LEGAL DOCUMENT	0	x
ILLEGIBLE AGREEMENTS CANNOT BE PROCESSED	0	x
Contact for processing this agreement and arranging payment:	0	x
COMPANY:	0	x
NAME:	0	x
EMAIL:	0	x
PHONE:	0	x
FAX:	0	x
Guidelines for completing this agreement:	0	x
1.  Enter your company or institution name on this cover page, along with your name, email	0	x
address and fax number if you require fax communication.	0	x
2.  Have an authorized person sign the signature page of this agreement. If your company	0	x
requires more than one authorized signatory, duplicate the signature page for each required	0	x
signature for both copies of the agreement.	0	x
3.  Email or mail this agreement to the address below. If mailed, send two signed copies	0	x
and one completed copy will be returned for your records:	0	x
Khronos Group Inc, 9450 SW Gemini Drive #45043, Beaverton, OR 97008, USA	0	x
This agreement will become effective when Khronos has acknowledged receipt of the	0	x
executed agreement.	0	x
If you have questions, please contact:	0	x
Khronos Group Management	0	x
finance@khronos.org	0	x
Voice mail: +1 (415) 869-8627, Fax: +1 (707) 202-0030	0	x
Khronos Mutual Non-Disclosure Agreement                                                            1	0	x
KHRONOS	0	x
MUTUAL NON-DISCLOSURE AGREEMENT	0	x
This Khronos Mutual Non-Disclosure Agreement (“Agreement”) is entered into by and	0	c
between The Khronos Group Inc. (“Khronos”), a California Corporation and the	0	c
undersigned party (“Participant”), by and through their authorized representatives as of	0	c
the Effective Date as defined below.	0	s
1.  BACKGROUND	0	d
Khronos and Participant wish to exchange confidential information to enable a dialog or	0	c
commercial relationship.	36	s
2.  DEFINITIONS	0	d
Throughout this Agreement the following terms when capitalized shall have the following	0	c
meanings:	0	d
”Confidential Information” shall include all technical and non-technical information	0	c
provided by either party to the other, including but not limited to materials generated by	0	c
Khronos and by Members on behalf of Khronos, and not specifically designated as non-	0	c
Confidential by the providing party, including all versions and revisions of draft	0	c
specifications and any passwords and minutes provided to either Participant or Khronos	0	c
under this agreement. Notwithstanding the above, Confidential Information will not include	0	c
any information that is (a) rightfully in the public domain other than by a breach of a duty	0	c
to the disclosing party; (b) rightfully received from a third party without any obligation of	0	c
confidentiality; (c) rightfully known to the receiving party without any limitation on use or	0	c
disclosure prior to its receipt from the disclosing party; (d) independently developed by the	0	c
receiving party; (e) generally made available to third parties by the disclosing party without	0	c
restriction on disclosure; or (f) disclosed in furtherance of an order to disclose issued by a	0	c
court of proper jurisdiction; provided, however, in such instance, the party having received	0	c
the Confidential Information will provide prompt notice to the other party in order to	0	c
facilitate that party’s legal intercession.	0	s
“Effective Date” means the later of the last date of signature on the signature page below.	0	s
“Member” means an entity that has executed a Khronos membership agreement and has not	0	c
withdrawn its membership\.	39	s
3.  PURPOSE AND SCOPE	0	d
Both parties hereby agree to conform to all of the applicable terms and conditions set forth	0	c
in this Agreement.	60	s
Khronos Mutual Non-Disclosure Agreement                                                            2	0	e
4.  CONFIDENTIAL INFORMATION	0	d
4.1   Confidentiality Obligation	0	d
Both parties will maintain all Confidential Information in confidence with at least the same	0	c
degree of care that it uses to protect its own confidential and proprietary information, but	0	c
no less than a reasonable degree of care under the circumstances and will not disclose the	0	c
Confidential Information except as necessary for its authorized participants to evaluate and	0	c
comment thereon. Both parties will mark any copies it makes of such Confidential	0	c
Information “Strictly Confidential,” or with a similar legend and shall reproduce all copyright	0	c
notices and disclaimers contained in the Confidential Information. Unless the parties agree	0	c
otherwise, this obligation of confidentiality will expire two (2) years from the date of	0	c
disclosure.	65	s
4.2   Return of Confidential Information	0	d
Upon termination, both parties will destroy or return to the other party all tangible copies of	0	c
Confidential Information that are in its possession.	64	s
5.  GENERAL	0	d
5.1   Assignment	0	d
Neither this Agreement nor any rights or obligations under this Agreement, in whole or in	0	c
part, are assignable or otherwise transferable by one party without the prior written	0	c
approval of the other, provided however, that this Agreement may be assigned by one party	0	c
to a purchaser of all, or substantially all, of that party’s business or assets, whether by	0	c
merger, sale of assets, sale of stock, or otherwise without such approval.	79	s
5.2  No Other Rights	0	d
No license, rights or title in or to any software or any intellectual property are provided	0	c
hereunder, either expressly or by implication, estoppel or otherwise, except as expressly	0	c
provided in this Agreement.	85	s
5.3  No Agency	0	d
The parties hereto are independent parties, and nothing herein shall be construed to create	0	c
an agency, joint venture, partnership or other form of business association between the	0	c
parties hereto.	89	s
5.4  Notices	0	d
Any notices under this Agreement shall be sent by a) registered mail; b) tracked overnight	0	c
carrier or c) email transmission where the recipient specifically replies to acknowledge receipt.	93	s
5.5  Governing Law	0	d
This Agreement shall be governed by and interpreted in accordance with the laws of the	0	c
State of California, excluding its choice of laws rules.  The parties hereby agree that any	0	c
dispute regarding the interpretation or validity of, or otherwise arising out of, this	0	c
Agreement shall be subject to the exclusive jurisdiction of the California state courts of	0	c
Santa Clara County, California (or, if there is federal jurisdiction, the United States District	0	c
Court for the Northern District of California, San Jose), and the parties agree to submit to	0	c
the personal and exclusive jurisdiction and venue of these courts.	96	s
Khronos Mutual Non-Disclosure Agreement                                                            3	0	e
5.6   Complete Agreement	0	d
This Agreement constitute the complete and exclusive statement of the agreement between	0	c
the parties, and supersedes all previous agreements, proposals, oral or written, and all	0	c
other communications or understandings between the parties relating to the subject matter	0	c
of this Agreement. Each party acknowledges that it has not relied upon any representation	0	c
or statement not contained herein. This Agreement shall not be modified, amended or in	0	c
any way altered except by an instrument in writing signed by the Participant and Khronos	0	c
hereto.	105	s
5.7  No Warranty	0	d
ALL PARTIES ACKNOWLEDGE THAT ALL INFORMATION PROVIDED UNDER THIS AGREEMENT,	0	c
INCLUDING ANY SPECIFICATIONS AND CONTRIBUTIONS, ARE PROVIDED “AS IS” WITH NO	0	c
WARRANTIES OR CONDITIONS WHATSOEVER, WHETHER EXPRESS, IMPLIED, STATUTORY,	0	c
OR OTHERWISE, AND THE PARTIES EXPRESSLY DISCLAIM ANY WARRANTY OR CONDITION	0	c
OF MERCHANTABILITY, SECURITY, SATISFACTORY QUALITY, NONINFRINGEMENT	0	c
INCLUDING NON-INFRINGEMENT OF THIRD PARTY INTELLECTUAL PROPERTY RIGHTS,	0	c
FITNESS FOR ANY PARTICULAR PURPOSE, ERROR-FREE OPERATION, OR ANY WARRANTY	0	c
OR CONDITION OTHERWISE ARISING OUT OF ANY PROPOSAL, CONTRIBUTION,	0	c
SPECIFICATION, OR SAMPLE.	113	s
5.8   Limitation of Liability	0	d
