Non-Disclosure Agreement	0	x
                   Moscow                                                                                                                       ___.___.2016	0	x
The Autonomous Non-profit Organization Local Organizing Committee-2018 (hereinafter	0	c
«the  Client»)  and  The  Company____________________________,  (hereinafter  «The	0	c
Company»)              represented              by_____________________,              acting	0	c
on________________________________,	0	s
seeking   to   ensure  The  Company's   eligibility   for   the   Public   tender	0	c
______________________ (ОТ/12) held by the Client (hereinafter “the Project”), have entered	0	c
into this Nondisclosure Agreement.	0	s
1. WHAT CONSTITUTES CONFIDENTIAL INFORMATION	0	d
The  Company  undertakes  to  consider  as  confidential  any  confidential,  private,  internal	0	c
information, trade secret or other classified information, materials or samples that The Company	0	c
receives, sees, hears or that it studies in writing or learns about in some other way in connection	0	c
with the Project, and that relates to the Client or any of its affiliates or subsidiaries, irrespective	0	c
of  whether  such  information,  such  materials  or  samples  were  received  from  the  Client,  its	0	c
affiliates  or  subsidiaries  or  from  third  parties  on  the  Client’s  instructions  (hereinafter  the	0	c
“Confidential  Information”).  All  information  obtained  through  a  statement,  processing,	0	c
generalizations or analytical calculations from the Confidential Information is also confidential.	10	s
2. WHAT DOES NOT CONSTITUTE CONFIDENTIAL INFORMATION	0	d
Information does not constitute Confidential Information if: (а) it is in the public domain or	0	c
enters the public domain through no fault of The Company; (b) it was known to The Company	0	c
before it was provided by the Client,  which is confirmed by  The Company’s documents; (c) it	0	c
was  disclosed  to  The  Company  by  a  third  party  that  has  not  assumed  any  non-disclosure	0	c
undertakings  before  the  Client,  which  is  confirmed  by  The  Company’s  documents  or  the	0	c
documents of said third party; or (d) it was independently developed by The Company without	0	c
the use of the Confidential Information, which is confirmed by The Company’s documents. The	0	c
Client  is  not  required  to  consider  as  confidential  any  information  provided  by  The  Company	0	c
under this Agreement.	19	s
3.  WHEN  THE  COMPANY  IS  ENTITLED  TO  RECEIVE  THE  CONFIDENTIAL	0	c
INFORMATION	0	d
The Company is entitled to receive the Confidential Information from the date indicated in	0	c
Appendix A as the “Commencement Date of the Provision of the Confidential Information” prior	0	c
to the expiration of one year after said date or before the completion of the Project, depending on	0	c
whichever  comes  later.  The  Client  shall  provide  the  Confidential  Information  at  its  own	0	c
discretion and is not required to provide any information under this Agreement.  The Company	0	c
shall  not  acquire  any  rights  to  the  Confidential  Information,  with  the  exception  of  rights  for	0	c
usage of the Confidential Information for the purpose of Project implementation	30	s
4.  HOW  THE  COMPANY  SHOULD  PROTECT  THE  CONFIDENTIAL	0	c
INFORMATION	0	d
The  Company  undertakes  to  act  in  good  faith  for  the  purpose  of  protecting  the	0	c
confidentiality  of  the  Confidential  Information.  This  undertaking  means  that  (а)  The  Company	0	c
