秘 密 保 持 契 約 書 ( 案 )	0	x
○○○○株式会社(以下、「甲」という。)とニイガタ株式会社(以下、「乙」という。)とは、甲乙間で	0	c
相互に開示される情報の取り扱いに関して、以下のとおり合意し、本契約(以下、「本契約」という。)を	0	c
締結する。なお、本契約の当事者のうち、秘密情報を開示した者又は開示する立場にある者を「開示者」	0	c
といい、秘密情報の開示を受けた者又は受ける立場にある者を「受領者」という。	0	s
第1条(開示目的)	0	d
本契約は、甲及び乙が以下の目的(以下、「開示目的」という。)に関連して、甲乙間で相互に開	0	c
示する秘密情報の秘密保持に関する取り扱いを定めるものである。	0	s
開示目的:甲及び乙による顧客対応	6	s
第2条(秘密情報の定義)	0	d
1. 本契約において「秘密情報」とは、本契約有効期間中、開示目的に関連して、開示者が受領者に	0	c
対して開示する技術、営業、業務、財務、組織、その他の事項に関する一切の情報(文書,電子	0	c
ファイル,口頭,その他の媒体の如何を問わない。視覚的に認識した情報をも含む。)及び受領者	0	c
が当該情報に基づいて判明し又は推知された事実や情報をいう。	0	s
2. 甲が乙に開示又は提供した個人情報は秘密情報とする。ここで,個人情報とは,生存する個人に	0	c
関する情報であって,当該情報に含まれる氏名,生年月日その他の記述等により特定の個人を識	0	c
別することができるもの(他の情報と照合することができ,それにより特定の個人を識別するこ	0	c
とができることとなるものを含む。)をいう。	0	s
3. 前項の規定にかかわらず、受領者が次の各号のいずれかに該当することを書面その他の方法によ	0	c
り証明できる情報については、秘密情報から除かれるものとする。	0	d
(1) 開示者より開示を受ける以前又は受けた時点ですでに所有していた情報	0	s
(2)  開示者より開示を受けた時点ですでに公知の情報	0	s
(3) 開示者より開示を受けた後に、受領者の責によらず公知となった情報	0	s
(4) 正当な権利を有する第三者から秘密保持の義務を負うことなく適法に入手した情報	0	s
(5) 開示者の秘密情報を利用することなく独自に開発又は創作した情報	0	s
(6) 秘密情報から除くことを甲乙相互に確認した情報	10	s
第3条(目的外使用の禁止)	0	d
受領者は、事前に開示者の書面(電子メール等の電磁的方法を含む。)による承諾を得ることなく、	0	c
秘密情報を開示目的以外に使用してはならない。	27	s
第4条(複製等の制限)	0	d
受領者は、事前に開示者の書面(電子メール等の電磁的方法を含む。)による承諾を得ることなく、	0	c
開示者より開示された秘密情報の全部又は一部の複製、複写及び改変を行ってはならないものとす	0	c
る。受領者は、複製物、複写物及び改変物についても秘密情報として取り扱うものとし、他の資料	0	c
と明確に区別してこれらを厳重に保管しなければならない。	30	s
第5条(秘密保持)	0	d
1. 受領者は、秘密情報を善良なる管理者の注意義務をもって秘密として管理保持するものとし、事	0	c
前に開示者の書面(電子メール等の電磁的方法を含む。)による承諾を得ることなく、当該秘密情	0	c
報を開示対象者以外の第三者に開示又は漏洩してはならない。	0	s
2. 受領者は、開示目的のために知る必要のある最小限の自己の役員、従業員並びに弁護士、公認会	0	c
計士、税理士、弁理士、等の法令上の守秘義務を負う者に対してのみ秘密情報を開示することが	0	c
できる。	0	s
3. 前項の場合、受領者は、秘密情報を開示した自己の役員、従業員に対し、本契約に基づき自己が	0	c
負担する義務と同等の義務を負担させるものとし、当該役員、従業員が本契約のいずれかの規定	0	c
に違反した場合には、当該役員、従業員と連帯して責を負うものとする。	0	s
4. 受領者が、事前に開示者の書面(電子メール等の電磁的方法を含む。)による承諾を得て、第三者	0	c
に秘密情報を開示することができる。この場合、受領者は、提供する秘密情報の内容、提供日、	0	c
提供方法、提供場所及び提供の相手型等,秘密情報の提供を特定するに必要な事項につき、書面	0	c
(電子メール等の電磁的方法を含む。)により、事前に開示者に通知するものとする。また、受領	0	c
者は、秘密情報を開示した当該第三者に対し、本契約に基づき自己が負担する義務と同等の義務	0	c
を負担させるものとし、当該第三者が本契約のいずれかの規定に違反した場合には、当該第三者	0	c
と連帯して責を負うものとする。	35	s
第6条(秘密書類等の返還)	0	d
本契約が終了したとき、開示目的が中止されたとき、もしくは終了したとき又は時期の如何を問わ	0	c
ず開示者の請求があったときは、受領者は、遅滞なく秘密情報、秘密情報を記載又は包含した書面	0	c
及び記録媒体等並びにそれらのすべての複製物、複写物及び改変物を開示者に返還し、又は開示者	0	c
の合理的な指示に従って、これらを破棄又は消去するものとし、その後これらを一切保持しないも	0	c
のとする。破棄又は消去した場合には、受領者は、これらをすべて破棄又は消去した旨を証する書	0	c
面(電子メール等の電磁的方法を含む。)を速やかに開示者に交付するものとする。	52	s
第7条  (義務の不存在)	0	d
甲及び乙は、次の各号に定める事項を、相互に確認するものとする。	0	d
(1) 本契約の締結は、開示者の受領者に対するいかなる情報の開示も義務付けるものではないこと。	0	s
(2)  本契約に基づく受領者への秘密情報の開示が、何らかの取引を開始する合意としての効力を	0	c
有するものではなく、また、開示目的において言及されている取引と同一又は類似の取引を本	0	c
契約に定める義務を遵守した上で、自ら又は第三者との間において、検討及び実行することを	0	c
妨げるものではないこと。	0	s
(3) 秘密情報は現状有姿で開示者から受領者に対して提供され、開示者は受領者に対し、明示黙示	0	c
を問わず、秘密情報の内容が第三者の権利を侵害していないことを保証する義務を負わないこ	0	c
と。	0	s
(4) 本契約に基づく秘密情報の特定目的適合性、正確性、最新性、適法性等並びに受領者による秘	0	c
密情報の利用及びその結果について何らの保証も行う義務を負わないこと。	59	s
第8条  (保証)	0	d
    前条第 3 号の規定にかかわらず、開示者は受領者に対し、本契約に基づき秘密情報を開示する適法	0	c
