秘密保持契約書(案)	0	x
独立行政法人海上技術安全研究所(以下「甲」という。)と、○○株式会社(以下「乙」	0	c
という。)とは、○○に関する受託研究・請負研究・共同研究・施設貸与等(以下「技	0	c
術サポート」という。)の可能性検討(以下「本件目的」という。)を行うにあたり、	0	c
甲・乙双方が相手方に対して開示する秘密情報の取扱いに関し、以下のとおり契約(以	0	c
下「本契約」という。)を締結する。	0	s
(定義)	0	d
第1条  本契約において使用する秘密情報とは、本項第一号及び第二号規定の技術情	0	c
報および事業情報の全てを総称していう。	0	d
 一 技術情報とは、次のものをいう。	0	d
イ 甲及び乙が互いに相手方から本契約に係り開示された技術的情報であって、	0	c
秘密である旨の表示がなされている資料に記録されたもの(書類、電子データ	0	c
を格納した電子媒体等の有体物)。	0	s
ロ 甲及び乙が互いに相手方から本契約に係り開示された技術的情報であって、	0	c
口頭で開示され、かつ開示に際し秘密である旨明示され、開示後30日以内に	0	c
書面で相手方に対して通知されたもの。	10	s
 二 事業情報とは、次のものをいう。	0	d
イ 甲及び乙が互いに相手方から本契約に係り開示された甲または乙の事業、運	0	c
営等に係る技術情報以外の情報であって、秘密である旨の表示がなされている	0	c
資料に記録されたもの(書類、電子データを格納した電子媒体等の有体物)。	0	s
ロ 甲及び乙が互いに相手方から本契約に係り開示された甲または乙の事業、運	0	c
営等に係る技術情報以外の情報であって、口頭で提示され、かつ開示に際し秘	0	c
密である旨明示され、開示後30日以内に書面で相手方に対して通知されたも	0	c
の。	9	s
2  前項に基づき定義された秘密情報は、次の各号の一に該当することが客観的に立	0	c
証できる情報は、含まないものとする。	0	d
一  相手方から開示を受ける前に既に保有し、または第三者から秘密保持の義務を	0	c
負うことなく入手していたもの。	0	s
二  相手方から開示を受ける前に既に公知または公用となっているもの。	0	s
三  相手方から開示を受けた後に当事者の責によらず公知となったもの。	0	s
四  相手方から開示を受けた後に、正当な権限を有する第三者から、秘密保持の義	0	c
務を負うことなく入手したもの。	0	s
五  書面により相手方から事前の承諾を得たもの。	7	s
(目的外使用の禁止)	0	d
第2条  甲及び乙は、本件目的以外に秘密情報を使用しないものとする。	34	s
(秘密保持)	0	d
第3条  甲及び乙は、秘密情報について、厳に秘密を保持するものとし、書面による	0	c
相手の承諾なくして、第三者に漏洩しないものとする。	0	s
2  本契約の内容及びその締結の事実は、前項に準じて秘密保持されるものとする。	36	s
(秘密事項の管理及び義務)	0	d
第4条  甲及び乙は、本秘密情報の管理について、取扱い責任者を定め厳重に管理す	0	c
る。	0	s
2  甲及び乙は、本検討に携わる各々の従業員に対してのみ、本秘密情報を開示する	0	c
ものとし、開示に際し、本秘密情報が秘密を保持すべき事項であることを明示する	0	c
とともに、それぞれ自己が本契約に基づき負うと同様の義務を当該従業員が負うこ	0	c
とにつき一切の責任を負う。	40	s
(複製の制限)	0	d
第5条  甲及び乙は、本件目的の範囲を超える目的のために秘密情報の一部または全	0	c
部を複製してはならない。	47	s
(秘密情報の瑕疵担保責任)	0	d
第6条  甲及び乙は相手方に対し、秘密情報に瑕疵があった場合でも、瑕疵担保責任	0	c
を含む一切の責任を負わないものとし、それらについて一切の明示または黙示の保	0	c
証をしないものとする。	50	s
(発明等の取扱)	0	d
第7条  甲または乙が相手方から開示された秘密情報に基づいて発明、考案、または	0	c
意匠の創作等(以下「発明等」という。)をなしたときは、甲または乙は、直ちに相	0	c
手方に対し通知するものとし、権利の帰属、取扱い等について別途協議の上決定す	0	c
る。	54	s
(損害賠償等)	0	d
第8条  甲または乙は、自己の責めに帰すべき事由により本秘密情報を漏洩した場合	0	c
には、相手方に対する損害賠償責任を負い、本秘密情報を記載した書類の回収等の	0	c
適切な処置を講ずるとともに、本秘密情報の漏洩を最小限にとどめるよう善後措置	0	c
に最善を尽くすものとする。	59	s
(契約期間)	0	d
第9条  本契約は、契約締結の日平成○○年○○月○○日から本件目的が終了し、技	0	c
術サポートの締結される日または平成○○年○○月○○日の内早く到来する日まで	0	c
とする。ただし、甲乙合意の上、延長できるものとする。	64	s
(有効期間)	0	d
第10条  前条の規定にかかわらず、第2条、第3条、第4条および第5条の規定は、	0	c
本契約の終了の日から5年間有効に存続するものとする。	68	s
(契約終了時の措置)	0	d
第11条  甲及び乙は、本契約が終了した場合、直ちに秘密情報の全てを相手方の指	0	c
示に従って返却または破棄するものとする。ただし、保管のためのみの複製1部を	0	c
除く。	71	s
(協議)	0	d
第12条  本契約に定めのない事項及び本契約の条項に関し疑義を生じた場合は、甲	0	c
乙協議の上、互譲協調の精神をもってその解決にあたるものとする。	-1	s
 本契約締結の証として、契約書正本2通を作成し、甲、乙各1通を保有する。	0	s
平成○○年○○月○○日	0	x
                                       東京都三鷹市新川6ー38ー1	0	x
                               甲    独立行政法人 海上技術安全研究所	0	x
                                       理事長  ○○○○	0	x
         ○○○○○○○○○ー○ー○	0	x
乙    ○○○○株式会社	0	x
                                       △△△  ○○○○	0	x
