秘密保持契約書	0	x
(甲)  税理士  松岡敏行  と  (乙)  相続人代表                     との間における、	0	c
秘密情報の取扱に関して以下のとおり契約を締結した。	0	s
第 1 条  (定義)	0	d
  本契約における秘密情報とは媒体の形式を問わず、秘密情報と明示し開示する情報をいう。	4	s
第 2 条  (秘密保持義務)	0	d
  甲及び乙は、知りえた情報を善良なる管理者の注意をもってその情報を管理・保持するもの	0	c
とする。	0	s
2  甲乙双方は、受領した情報を甲乙合意の目的以外に使用してはならない	6	s
第 3 条  (使用目的)	0	d
  甲及び乙は本件の秘密情報を  相続申告関連業務  の目的としてのみ使用する。	10	s
第 4 条  (権利義務の譲渡の禁止)	0	d
  甲乙双方は、開示者の書面による同意を得ずに、本契約により生ずる権利又は義務の全部又は	0	c
一部を第三者に譲渡し、承継させてはならない。	12	s
第 5 条  (複製・複写)	0	d
  本件の契約に係る情報については、必要のある場合にのみ複製・複写を行なうことができる。	15	s
第 6 条(秘密情報の返却)	0	d
  情報受領者は、本契約が終了した場合または開示者から要求を受けた場合は受領した情報媒体	0	c
または物品等を直ちに返却又は開示者の指示に従い廃棄するものとする。	17	s
第 7 条  (損害賠償)	0	d
  甲及び乙は相手方の本契約に定める秘密保持義務に違反して秘密情報を漏洩した場合には、	0	c
情報開示者はその違反行為の差止め及び原状回復を請求及び、損害賠償の請求をすることが	0	c
できる。	-1	s
以上の通り契約が成立したので、本契約書 2 通を作成し、各自押印の上各 1 通を所持します。	0	s
  平成    年    月    日	0	x
甲)  住所  大阪府大阪市天王寺区上汐 3 丁目 8 番 4 号 114 号	0	x
まつおか税理士事務所	0	x
    氏名   松岡  敏行	0	x
乙)  住所	0	x
    氏名	0	x
