秘密保持契約書秘密保持契約書秘密保持契約書秘密保持契約書	0	x
(甲)株式会社  スチール          と	0	c
(乙)                            との間における、秘密情報の取扱に関して以下のとおり契	0	c
約を締結した。	0	s
第 1 条  (定義)	0	d
  本契約における秘密情報とは媒体の形式を問わず、甲が乙に対して開示した情報のうち、「秘	0	c
密情報」と明示し開示する情報をいう、但し、以下の各号に該当する場合にはその限りではない。	0	d
1.乙が甲から開示を受ける前より既に保有していた情報	0	s
2.乙が正当な手段により、甲とは無関係の第三者から受けた情報	0	s
3.乙が甲から開示を受けた際に、公に公表されており、一般に入手可能な情報	0	s
4.乙が甲から事前に書面により公表を承認された情報	0	s
5.乙が甲から開示された情報と無関係に、独自の方法により開発した情報	5	s
第 2 条  (秘密保持義務)	0	d
  乙は、知りえた情報を善良なる管理者の注意をもってその情報を管理・保持するものとする。	0	s
2  乙は、受領した情報を甲乙合意の目的以外に使用してはならない。	0	s
3  乙は、受領した情報を、当該秘密情報を知る必要のある乙の従業員及び役員に限り開示する	0	c
ものとし、同従業員及び役員に対し、本契約における乙の義務と同等の義務を課すものとする。	13	s
第 3 条  (使用目的)	0	d
  乙は本件の秘密情報を                  の目的としてのみ使用する。	18	s
第 4 条  (権利義務の譲渡の禁止)	0	d
  乙は、開示者の書面による同意を得ずに、本契約により生ずる権利又は義務の全部又は一部を	0	c
第三者に譲渡し、承継させてはならない。	20	s
第 5 条  (複製・複写)	0	d
  本件の契約に係る情報については、必要のある場合にのみ複製・複写を行なうことができる。	23	s
第 6 条(秘密情報の返却)	0	d
  乙は、甲に対し、本契約が終了した場合または甲から要求を受けた場合は受領した情報媒体ま	0	c
たは物品等を直ちに返却又は甲の指示に従い廃棄するものとする。	25	s
第 7 条  (損害賠償)	0	d
  甲は、乙が本契約に定める秘密保持義務に違反して秘密情報を漏洩した場合には、その違反行	0	c
為の差止め及び原状回復を請求及び、損害賠償の請求をすることができる。	28	s
第 8 条  (有効期限)本契約の有効期限は、契約締結の日より1年間とする。但し、甲または乙か	0	c
ら、終了日の 6 ヶ月前までに書面による通知がない場合は、本契約は更新されたものとみなす。	0	b
2  前項の期間に関わらず、本契約終了後においても、(第2条)秘密保持義務及び(第 7 条)	0	c
損害賠償については、有効に存続するものとする。	0	s
第 9 条  (合意管轄)本契約に関する紛争に付いては、甲の居住地の裁判所を第一審の管轄裁判所	0	c
とする。	-1	s
以上の通り契約が成立したので、本契約書 2 通を作成し、各自押印の上各 1 通を所持する。	0	s
平成    年    月    日	0	x
甲)      住所  栃木県河内郡上三川町多功2570番地1	0	x
株式会社  スチール	0	x
        代表取締役  スピッツァー  マリオ    印	0	x
乙)      住所	0	x
          氏名                                          印	0	x
