          秘密保持契約書	0	x
           (以下「甲」という)とマルデザイン企画株式会社(以下「乙」という)とは、当事者間で開示される	0	c
情報の取扱及び保護に関し、以下秘密保持契約(以下「本契約」という)を締結する。	0	s
第1条 契約の目的	0	d
 本契約は、甲と乙とが、甲乙間において第2条に定める秘密情報(秘密情報の定義については第2条第1項を参照)の	0	c
開示が行われた場合に、当該情報が安全かつ厳格に保持され、契約外の第三者に開示、漏洩しないよう管理するために、	0	c
当事者の利用保管に関する義務を定めることを目的として、締結された。	4	s
第2条 秘密情報の定義	0	d
1 本契約において「秘密情報」とは、本契約の締結の前後又は口頭若しくは書面等の伝達手段を問わず、開示をする当	0	c
事者(以下「開示者」という)から相手方(以下「受領者」という)に対し開示される一切の情報(口頭、視覚的手段、	0	c
その他有体物の提供を伴うか否か及び内容を問わない)をいう。	0	s
2 本契約において、以下の各号に該当する情報は、前項に関わらず、秘密情報に該当しないものとする。ただし、個人	0	c
情報の保護に関する法律(平成15年5月30日法律第57号)に定める個人情報に該当する情報の場合(以下「個人情報」と	0	c
いう)には、この限りでない。	0	d
(1) 開示以前に公知であった情報及び開示後に受領者の責めに帰せずして公知となった情報	0	s
(2) 開示者が事前に書面により開示することを承諾した情報	0	s
(3) 開示以前に受領者が保有していた情報	0	s
(4) 開示後に受領者が第三者から秘密保持義務を負わず入手した情報	0	s
(5) 開示の前後にかかわらず、秘密情報によらずして受領者が独自に開発した情報	14	s
第3条 開示目的及び開示目的変更の通知	0	d
1 本契約に定める秘密情報が開示される場合には、開示者は受領者に対し、開示の際に開示目的を書面にて明示して、	0	c
行わなければならない。受領者は、明示された開示目的の達成のために当該秘密情報を利用することができるものとする。	0	c
開示目的が示されない場合は、受領者において妥当と判断した範囲で利用することができるものとする。	0	s
2 開示者が秘密情報の開示目的を変更する場合には、速やかにその旨及び変更された後の開示目的を、書面により受領者	0	c
に通知しなければならない。この通知が遅れたことにより開示者に損害が生じた場合であっても、受領者はこの損害につい	0	c
て一切の責任を負わないものとする。	20	s
第4条 秘密情報の管理	0	d
1 受領者は、秘密情報を善良な管理者の注意をもって管理しなければならない。	0	s
2 受領者は、秘密情報について厳にその秘密を保持し、開示者の書面による事前の承諾なくして以下の各号に定める行為	0	c
を行ってはならない。	0	d
(1) 開示の目的の達成のため必要な場合を除き、第三者に開示若しくは漏洩すること	0	s
(2) 開示目的以外に秘密情報を使用・開示すること	30	s
3 受領者は、前項第1号において第三者に秘密情報を開示した場合には、開示者が特に書面により認めた場合を除き、当該	0	c
再開示を受ける者に対し、本契約に定める秘密保持義務又はこれと同等の義務を遵守させなければならない。	0	s
4 甲及び乙は、本契約締結の事実、契約内容及び契約目的等についても、秘密情報として取り扱うものとする。	0	s
5 受領者は、法令等に基づき公的機関が秘密情報の開示を求める場合には、必要な範囲で秘密情報を当該公的機関に開示す	0	c
ることができるものとする。ただし、受領者が上記に従い公的機関に秘密情報を開示した場合、受領者は開示後速やかにその	0	c
旨を開示者に通知しなければならない。	27	s
第5条 秘密情報管理体制の整備	0	d
1 甲及び乙は、本契約の定める管理が実現するための制度として、秘密情報管理に関する関係規定の整備、管理体制の整備	0	c
を行い、万全の体制を持って、秘密情報を適切に管理しなければならない。	0	s
2 甲及び乙は、それぞれ秘密情報の管理及び秘密資料の保管に関する担当者を定めて、秘密情報の適切な管理を行うものと	0	c
する。担当者を定めない場合は、代表取締役を担当者とみなす。	39	s
第6条 監査	0	d
1 開示者は、受領者において秘密情報が第5条第1項に従って管理運用されていることを自ら若しくは自己の指名する専門の	0	c
第三者をして、監査することができるものとする。	0	s
2 開示者は、前項の監査のため、受領者に対し、開示情報の取り扱い状況について適宜報告を求めることができるものとす	0	c
る。ただし、受領者の業務に支障が生じる場合には、この限りでない。	44	s
第7条 再委託及び再委託先の監督	0	d
