(別紙6)                秘密保持契約書	0	x
委託者                            「甲」という)と受託者	0	c
(以下「乙」という)は、甲が                      業務(以下、「本業務」という)を	0	c
乙に委託することに関し、次のとおり秘密保持契約を締結する。	0	s
(目的)	0	d
第1条    本契約は、乙が本業務において知り又は知り得た甲の秘密情報を保持するために	0	c
締結されるものである。	5	s
(秘密情報)	0	d
第2条    本契約にいう秘密情報とは、下記の内容を含む情報であり、電磁的情報、印刷情	0	c
報を問わないものとする。	0	d
(1)  甲の事業活動に有用な技術上又は業務上の情報であって、公然と知られていない	0	c
もの	0	s
(2)  甲が事業活動を遂行する上で知り得た情報のうち、特定の個人又は法人を識別す	0	c
ることができる情報	0	s
(3)  甲が乙に貸与した物件(文書、図面等を含む)に記載された情報	0	s
(4)  「個人情報の保護に関する法律」に定める個人情報	10	b
2        次の各号に定める情報は、秘密情報に含まれないものとする。	0	d
(1)  既に公知となっている情報及び開示後に公知となった情報	0	s
(2)  甲が乙に公表することを承諾した情報	0	s
(3)  乙が独自に開発した事項に関する情報	0	s
(4)  乙が秘密保持義務を負うことなく第三者から適法かつ正当に入手した情報	0	s
(5)  乙が原契約の締結前に既に保有していた情報	17	b
3      甲が乙に対して、本契約における秘密情報の取扱いを委託する場合は、「秘密情報」	0	c
であることを明示して委託するものとする。	8	s
(秘密保持義務)	0	d
第3条      乙は、前項に定める秘密情報を第三者に開示してはならない。	0	b
2      乙は、甲より貸与された物件について、その利用目的終了の都度速やかに甲に返	0	c
却するものとする。	25	s
(安全管理体制の整備)	0	d
第4条    乙は、情報セキュリティおよび個人情報保護に関して十分な安全管理体制を整え、	0	c
これを維持しなければならない。	0	b
2          乙は、秘密情報を処分する前に一時的に保管する場合は、施錠が可能であり、所	0	c
定の担当者以外の者によるアクセスが不可能な区域に、秘密情報を保管するもの	0	c
とする。	29	s
(秘密情報の複製及び複写の禁止)	0	d
第5条    乙は、本契約に定める秘密情報を複製又は複写してはならない。	35	s
(秘密情報の取扱いの再委託)	0	d
第6条    乙は、秘密情報の取扱いを第三者に再委託してはならない。	0	b
2      乙は、本契約の履行のため、秘密情報の取扱いを再委託する必要がある場合は、	0	c
事前に、甲に対し、再委託業務の内容、再委託先の詳細等甲が要求する事項を書	0	c
面により通知し、甲の承認を得なければならない。	37	s
(教育)	0	d
第7条    乙は、所定の担当者に対し、本契約に定める事項を十分に説明し、秘密保持義	0	c
務を遵守するよう教育を施し、当該担当者との間で秘密保持義務を含む誓約書を	0	c
締結する等、これを担保するための対策を講じなければならない。	42	s
(秘密情報の取扱い状況に関する報告)	0	d
第8条    甲は、乙に対し、必要であると認めるときは、秘密情報の取扱い状況に関する報	0	c
告を求めることができる。	0	s
第9条(知的財産権の取扱)	0	d
乙は甲から知り得た知的財産権を甲指定の目的以外に利用してはならない。	0	s
2      乙は甲から知り得た知的財産権の内容を第三者に漏洩してはならない。	46	s
(損害賠償責任)	0	d
第 10 条    乙は、自らの故意又は過失により、秘密情報の漏えい等の事故が生じた場合に	0	c
は、速やかに甲に対しこれを報告し、適切な措置を講じるものとする。	0	b
2          乙は、前項の事故により、甲の本人(秘密情報の主体)等に対する損害賠償等の	0	c
責任が生じた場合には、これを負担するものとする。	0	b
3      前項の場合、甲は乙との取引を停止することができる	52	s
(有効期間)	0	d
第 11  条  本契約の有効期間は、平成    年    月    日から、平成    年    月    日ま	0	c
でとする。ただし、第 3 条第 1 項及び第 10 条については、本契約終了後も引き	0	c
続き有効であるものとする。	58	s
(解除)	0	d
第 12  条  甲は、乙が本契約に定める条項の一に違反したときは、原契約を解除することが	0	c
できる。	62	s
(管轄)	0	d
第 13 条  本契約に関して甲乙間で生じた紛争については、大阪地方裁判所をもって、第 1	0	c
審の専属的合意管轄裁判所とする。	-1	s
本契約の成立を証するため、本書2通を作成し、甲乙各1通を保有する。	0	s
平成          年        月        日	0	x
                                                                                            甲	0	x
                                                                                            乙	0	x
