秘密保持契約書	0	x
  一般財団法人建設業振興基金(以下「甲」という。)と○○○○株式会社(以下「乙」という。)	0	c
は、甲乙及び富士フイルムイメージングシステムズ株式会社(以下「丙」という。)間において	0	c
年      月      日付で締結した就業履歴データ登録標準 API 連携認定契約書に関連して、建	0	c
設キャリアアップシステムにおける「就業履歴データ登録標準 API 連携認定システム」を構築	0	c
することを目的(以下「本目的」という。)として、互いに開示又は受領する情報の秘密保持に	0	c
関して、以下のとおり秘密保持契約(以下「本契約」という。)を締結する。	0	s
第1条(秘密情報の定義)	0	d
本契約において秘密情報とは、一方当事者(以下「開示当事者」という。)が他方当事者(以	0	c
下「受領当事者」という。)に対して、本目的のために、文書、口頭、電磁的記録媒体その他開	0	c
示の方法及び媒体を問わず、また、本契約締結の前後を問わず、開示される全ての情報、本契	0	c
約の存在及び内容、並びに、建設キャリアアップシステムに関する協議・交渉の存在及びその	0	c
内容のうち、開示当事者が秘密保持すべきものと明示したものをいう。	0	s
ただし、口頭その他有形の媒体又は電磁的記録以外により開示された場合の秘密情報は、開	0	c
示当事者により開示時に秘密である旨を明示し、かつ開示後30日以内に開示内容を書面化し、	0	c
当該書面にて受領当事者に通知されたものをいう。	0	s
  ただし、以下のいずれかに該当する情報は、秘密情報には含まれないものとする。	0	d
1  開示された時点において、受領当事者がすでに了知していた情報	0	s
2  開示された時点において、すでに公知、公用であった情報	0	s
3  開示された後に受領当事者の責に帰すべき事由によらずに公知、公用となった情報	0	s
4  開示当事者に対して秘密保持義務を負わない正当な権限を有する第三者から、受領当事	0	c
者が秘密保持義務を負うことなく適法に取得した情報	8	s
第2条(秘密保持)	0	d
  受領当事者は、秘密情報について厳に秘密を保持するものとし、開示当事者の事前の書面に	0	c
よる承諾を得ない限り、その全部又は一部を第三者に開示し、又は漏洩してはならないものと	0	c
する。ただし、甲が本目的達成のために業務委託した丙及び丙が別紙に記載している開示先(以	0	c
下「丙開示先」という。)に対する秘密情報の開示については、甲が丙及び丙開示先に対し、本	0	c
契約の主旨に則り、秘密保持義務を周知徹底し、これを遵守させるとともに、丙及び丙開示先	0	c
による履行につき一切の責任を負うことを条件として、予め承諾があったものとする。受領当	0	c
事者が開示当事者の事前の書面による承諾を得て、秘密情報の全部又は一部を第三者に開示す	0	c
る場合、受領当事者はあらかじめ当該第三者に対し、本契約の趣旨に則り、秘密保持義務を周	0	c
知徹底し、これを遵守させるとともに、当該第三者による履行につき一切の責任を負うものと	0	c
する。	0	s
2  受領当事者は、本目的のために秘密情報を知る必要がある各所属する関係者(以下「関係	0	c
者」という。)に対してのみ、秘密情報を開示し、又は利用させることができる。この場合にお	0	c
いて、受領当事者は、あらかじめ関係者に対し、本契約の趣旨に則り、秘密保持義務を周知徹	0	c
底し、これを遵守させるとともに、これらの者による履行につき一切の責任を負うものとする。	0	s
3  受領当事者は、本条第 1 項に拘らず、開示当事者の事前の書面による承諾なくして、秘密	0	c
情報を知る必要がある弁護士、会計士、税理士その他法令上の守秘義務を負うアドバイザー(以	0	c
下「外部専門家」という。)に対して、秘密情報の内容を開示することができるものとする。な	0	c
お、親会社(自己がその議決権付株式の過半数を直接又は間接に保有される会社をいう。)・子	0	c
会社(自己がその議決権付株式の過半数を直接又は間接に保有する会社をいう。)については、	0	c
受領当事者が開示当事者に開示の理由を明示し、事前の許諾を得たうえで、開示できるものと	0	c
する。この場合、受領当事者は、秘密情報の開示を受けた外部専門家及び自らの親会社・子会	0	c
社に対し本契約上の義務と同様の義務を負わせるものとする。	23	s
第3条(使用目的)	0	d
  甲乙のそれぞれから開示された情報においては、本目的の範囲内においてのみ、秘密情報を	0	c
利用できるものとし、それ以外の目的で秘密情報を使用し、又は利用してはならない。	46	s
第4条(複製)	0	d
受領当事者は、開示当事者の事前の書面による承諾を得た場合を除き、秘密情報を本目的以	0	c
