NON-CIRCUMVENTION/NON-DISCLOSURE AND	0	x
CONFIDENTIALITY AGREEMENT	0	x
The agreement is made and entered into this 2nd day of August 2004, by and	0	c
between:	0	d
Bill Woo and Gateway Venture Holdings, Inc., a Nevada corporation ("Gateway").	4	s
WHEREAS, the purpose of this Agreement is to lay down the terms and conditions,	0	c
and guidelines which will allow the respect and protection of each Party's	0	c
respective proprietary interests.	0	s
NOW THEREFORE, in considering of the various representations, mutual promises,	0	c
covenants, and undertakings contemplated herein and for good valuable	0	c
consideration, the value of which is acknowledged by the Parties by execution	0	c
hereof, the Parties agree as follows:	0	d
1.   None of the parties shall divulge to any person, (other than	0	c
those whose provenance it is to know it, or with proper	0	c
authority) or use any trade secrets or confidential information	0	c
or any financial or trade information relating to the other,	0	c
which they acquire as a result of the discussing of or the	0	c
entering into agreements with each other. Each Party shall	0	c
endeavor to prevent its officers, employees, agents,	0	c
representatives, and associates from doing anything, which, if	0	c
done by Party, would be a breach of this agreement. This	0	c
restriction shall continue to apply after the expiration of this	0	c
Agreement, and other Agreements entered into between the Parties,	0	c
without limit in point of time, but shall cease to apply to	0	c
secrets or information, which came into the public domain through	0	c
no fault of the Party concerned.	0	s
2.   The Parties each undertake to the other that for a period of five	0	c
(5) years from the date of this Agreement, they will not, without	0	c
prior written consent of the other, directly or indirectly	0	c
through third parties, make or seek to make contact or	0	c
communication with those Banks, Financial Institutions,	0	c
government representatives, clients, investors, traders,	0	c
associates, legal advisors and financial advisors with whom they	0	c
have been placed into contact with by the other or to whom the	0	c
names, addresses and other pertinent information has been	0	c
released to them by the other.	0	s
3.   Each party undertakes irrevocably and unconditionally:	0	d
a.   To ensure that all aspects of each transaction remain	0	c
confidential.	0	s
b.   Not to disclose, either verbally or in written form, any	0	c
knowledge that it may obtain at any time in the future, be	0	c
it either implicit or	0	c
<PAGE>	0	e
implied, with respect to the implementation of any proposed	0	c
transaction.	0	s
c.   Not to circumvent or attempt to circumvent the other.	0	s
d.   Not to disclose to third parties the names, addresses, fax	0	c
and telephone coordinates of any contact/client revealed by	0	c
one party to the other.	0	s
e.   Not to enter into direct or indirect negotiations with any	0	c
other's contacts/clients.	0	s
f.   Not to show, deliver, or cause to be seen, any documents,	0	c
papers, correspondence, memoranda or copies of such to other	0	c
than person(s) or entities of any kind, except to those whom	0	c
are required to maintain confidentiality such as an attorney	0	c
or tax advisor.	0	s
g.   Each Party shall endeavor to ensure that any of its	0	c
officers, employees, agents, representatives or associates	0	c
who, by virtue of their duties may receive the type of	0	c
information described in this Agreement, are fully obligated	0	c
to respect the spirit and terms of this Agreements in the	0	c
same way as each Party. Each Party shall undertakes to have	0	c
those officers, employees, agents, representatives or	0	c
associates acknowledge their obligation by Countersigning a	0	c
copy of this Agreement, thereby binding them to honor the	0	c
terms of this Agreement.	37	s
4.   Each Party acknowledges that any breach of the terms and	0	c
conditions of this Agreement by either party or its employees,	0	c
agents, representatives or associates may render the seeking of	0	c
liquidated damages, by the other and the cancellation and	0	c
termination of all agreements and transactions.	0	s
5.   This Agreement has been entered into by each Party acting on its	0	c
own free will and judgment and shall be binding on the Parties,	0	c
their heirs or successors, administrators, and assignees.	0	s
6.   Any dispute or controversy arising out of or relating to any	0	c
interpretation, construction, performance, or breach of this	0	c
Agreement shall be resolved exclusively by binding arbitration in	0	c
Las Vegas, Nevada, in accordance with the rules then in effect of	0	c
the American Arbitration Association, The arbitrator(s) may grant	0	c
injunctions or other relief in such dispute or controversy. The	0	c
decision of the arbitrator(s) shall be final, conclusive, and	0	c
binding on the parties to the arbitration. Judgment may be	0	c
entered on the arbitrator's decision in any court having	0	c
jurisdiction. The parties to the arbitration shall each pay an	0	c
equal share of the costs and expenses of such	0	c
<PAGE>	0	e
arbitration, and each of them shall separately pay their counsel	0	c
fees and expenses.	0	s
7.   The release of confidential information pursuant to a protested	0	c
court order shall not be deemed to be a violation of this	0	c
Agreement.	0	s
8.   This Agreement may be executed in one or more counterparts each	0	c
of which shall be binding on each party by whom or on whose	0	c
behalf it is so executed, but which together shall constitute a	0	c
single instrument. For the avoidance of doubt, this Agreement	0	c
shall not be binding on any party hereto unless and until it	0	c
shall have been executed by or on behalf of all persons expressed	0	c
to be party hereto.	-1	s
IN  WITNESS  WHEREOF,  the  parties  have executed this Agreement as of the date	0	c
first  above  written.	-1	s
BILL WOO	0	x
By:_____________________________	0	x
Bill Woo	0	x
GATEWAY VENTURE HOLDINGS, INC.	0	x
By:  _____________________________	0	x
Rick Bailey	0	x
Its: President	0	x
By:  _____________________________	0	x
Flo Ternes	0	x
Its: Chief Operations Officer	0	x
<PAGE>	0	x
