<PAGE>   1	0	x
NON-CIRCUMVENTION AND NON-DISCLOSURE AGREEMENT	0	x
This Non-Circumvention and Non-Disclosure Agreement (hereinafter	0	c
referred to as the "Agreement" is made this 6th of February, 1999 by and between	0	c
High Speed Net Solutions and R. J. Seifert Enterprises. Collectively, all the	0	c
parties hereto may be referred to hereinafter as the "Parties", shall include	0	c
both disclosing party and informed party without prejudice.	0	s
Whereas, the Parties wish to associate themselves for the purpose of	0	c
working together for their individual and common benefit.	0	s
Now, therefore, in consideration of the representations, agreements,	0	c
promises and covenants contained herein and other good and valuable	0	c
consideration, the receipt and sufficiency of which is hereby acknowledged, the	0	c
Parties agree as follows:	0	d
1.       The Parties agree to abide by the following rules of	0	c
non-circumvention and non-disclosure for a period of Two years from the	0	c
effective date hereof. Such covenant and agreement shall survive termination of	0	c
this Agreement for any reason whatsoever.	0	d
a)       Each Party, for itself and its associates as defined below, represents	0	c
and warrants that it shall not conduct business with any sources or contacts, or	0	c
said source's or contact's associates as defined below, that are originally made	0	c
known and/or available by another Party hereto, at any time or in any manner,	0	c
without the express written permission (not to be unreasonably withheld) of the	0	c
Party who made the source(s) known and/or available.	0	s
b)       For purposes of this Agreement, the term "associates" or "contacts"	0	c
shall be defined as: in the case of a business entity its officers, directors,	0	c
affiliates, subsidiaries, associated entities, and any other business entity in	0	c
which the business entity owns five percent (5%) or more of the outstanding	0	c
equity interest.	0	s
c)       The Parties will maintain complete confidentiality regarding this	0	c
Agreement and all transactions occurring thereunder, each other's business,	0	c
business sources and affiliates and each other's propriety knowledge and	0	c
know-how, and will disclose such information only pursuant to the express	0	c
written permission of the party who made such information available save where	0	c
such information deemed to be in the public domain or under the order of a	0	c
competent Court or Government Agency.	0	s
d)       This Agreement and each additional agreement concluded or written or	0	c
verbal disclosure made between the Parties, shall be kept confidential and is	0	c
not to be reproduced, communicated or distributed in any manner whatsoever	0	c
except on a "need to know" basis to persons directly involved with the closing	0	c
of any transaction contemplated between the Parties, or legal counsel of a	0	c
Party.	0	s
e)       It is understood and agreed that by reason of this "Agreement" the	0	c
"Parties" that are involved during the course of business transactions may learn	0	c
from one another, or from the	0	c
<PAGE>   2	0	e
principals the names, addresses, telephone numbers of lenders, agents, brokers,	0	c
clients or others hereafter referred to as "Contracts" and or "Associates".	0	s
f)       It is understood and agreed that the "Contracts" of each party hereto	0	c
are and shall be recognized as exclusive and valuable "Contracts" and that the	0	c
parties will not directly or indirectly negotiate or participate in any	0	c
transaction circumventing the party who first provided the "Contract".	17	s
2.       The Agreement is valid and effective for all purposes,	0	c
business, communications, negotiations, disclosures and transactions of whatever	0	c
nature between the Parties for a period of two (2) years from the effective date	0	c
hereof.	0	s
3.       Each Party represents, warrants and covenants that all	0	c
information furnished by said party, or to be furnished by said Party, or to any	0	c
other Party or Parties hereto is, or will be, true, complete, correct and	0	c
accurate to best of said Party's knowledge, ability and belief.	0	s
4.       In the event of circumvention by the "Parties" involved in	0	c
this transaction, either directly or indirectly, it is agreed and guaranteed	0	c
that a monetary penalty will be paid by the person or persons engaged in or	0	c
circumvention. This payment will additionally include all reasonable legal	0	c
expenses incurred by the aggrieved party.	0	s
5.       This Agreement contains the entire and complete understanding	0	c
existing between the Parties of the date of its execution regarding the subject	0	c
matters contained herein, and all former representations, promises or covenants,	0	c
whether written or verbal, are null and void.	0	s
6.       This Agreement may be modified only by written agreement duly	0	c
executed by all Parties hereto.	0	s
7.       This Agreement shall be binding upon, and inure to the benefit	0	c
of the heirs, legal representatives, successors, designees, and/or assigns of	0	c
the Parties. The executor, administrator, or personal representative of a	0	c
deceased party shall execute and deliver any document(s) or legal instrument(s)	0	c
necessary or desirable to carry out the provisions hereof.	0	s
8.       Any written notice required or allowed to be given hereunder	0	c
shall be deemed to have been duly and properly given and delivered (a) as of the	0	c
date actually hand delivered to the Party to be charged with receipt.	0	s
