Exhibit 10(b)(iii)	0	x
CONFIDENTIAL INFORMATION	0	x
NON-DISCLOSURE AGREEMENT	0	x
This Agreement, dated as of May 21, 1996 is between Granite	0	c
State Energy, Inc., with offices at 25 Research Drive, Westboro,	0	c
MA, ("GSEnergy") and New England Power Company, with offices at 25	0	c
Research Drive, Westborough, MA ("Company").	0	s
WHEREAS, the Company and GSEnergy wish to discuss a	0	c
prospective purchase of power for purposes of the New Hampshire	0	c
Retail Competition Pilot Program (the "Prospective Purchase");	0	c
FOR GOOD AND VALUABLE CONSIDERATION, GSEnergy and the Company	0	c
agree as follows:	0	d
1. In connection with the Prospective Purchase, the Company	0	c
will provide GSEnergy with certain proprietary and commercially	0	c
sensitive information and develop further such information with	0	c
GSEnergy (all of the foregoing hereinafter referred to as	0	c
"Information") which it wishes GSEnergy to maintain as	0	c
confidential. GSEnergy agrees that it will safeguard such	0	c
Information maintaining it confidential and not using it except for	0	c
the purposes of such review and analysis.	0	s
The term "Information" shall mean and includes all information	0	c
in whatever form, provided for the purpose of GSEnergy's review and	0	c
analysis, but is not information which:	0	d
(a)  is in the public domain at the time of disclosure to	0	c
GSEnergy; or	0	s
(b)  enters the public domain after disclosure to GSEnergy,	0	c
except where such entry is the result of a breach by	0	c
GSEnergy of this Agreement; or	0	s
(c)  was already in the possession of GSEnergy prior to	0	c
disclosure to GSEnergy and was not then subject to an	0	c
obligation of confidence; or	0	s
(d)  is rightfully disclosed to GSEnergy by a third person.	23	s
2.   GSEnergy agrees to maintain all Information in secrecy	0	c
and confidence for a period of seven (7) years from the date of	0	c
disclosure thereof, using the same degree of care as is used to	0	c
protect its own Information. In no event will this degree of care	0	c
be less than a reasonable degree of care.	0	s
3.   If GSEnergy desires to use individuals not employed by	0	c
GSEnergy, GSEnergy shall not disclose Information to these	0	c
individuals without obtaining prior written approval from the	0	c
Company and having appropriate non-disclosure agreements signed in	0	c
form and substance satisfactory to the Company.	0	s
- 2 -	0	e
4.   It will not constitute a violation of this Agreement for	0	c
GSEnergy to disclose Information as required by a governmental body	0	c
or a court of competent jurisdiction or as otherwise required by	0	c
law, provided that the Company has been given notice of such	0	c
requirement and been afforded a reasonable opportunity to contest	0	c
it, if applicable.	0	s
5.   If any provision of this Agreement is or becomes or is	0	c
deemed invalid, illegal or unenforceable in any jurisdiction, such	0	c
provision shall be deemed amended to conform to applicable laws so	0	c
as to be valid and enforceable or, if it cannot be so amended	0	c
without materially altering the intention of the parties, it shall	0	c
be stricken, and the remainder of this Agreement shall remain in	0	c
full force and effect.	0	s
6.   This Agreement shall be governed by and construed and	0	c
enforced in accordance with the laws of the Commonwealth of	0	c
Massachusetts.	0	s
7.   This Agreement may be executed in any number of	0	c
counterparts, each of which shall be an original and all of which	0	c
shall constitute together but one and the same document.	0	s
8.   All notices from GSEnergy hereunder shall be in writing	0	c
and delivered to the attention of Mr. Michael J. Hager, New England	0	c
Power Company, 25 Research Drive, Westborough, MA 01582. All	0	c
notices from the Company hereunder shall be in writing and	0	c
delivered to GSEnergy at the above address.	-1	s
IN WITNESS WHEREOF, GSEnergy and the Company have caused this	0	c
Agreement to be executed by their authorized representatives.	0	s
GRANITE STATE ENERGY, INC.	0	x
By:  s/John H. Dickson	0	x
Title:  President	0	x
NEW ENGLAND POWER COMPANY	0	x
By:  s/Jeffrey Tranen	0	x
Title:  President	0	x
