EXECUTIVE ORDER NO.               2020-28	0	x
WHEREAS,	0	c
on March 13, 2020, the undersigned issued Executive Order No. 2020-08, declaring a State	0	c
of Emergency based on a determination that the 2019 Novel Coronavirus (“COVID-19”) posed an	0	c
imminent public health emergency for the State of South Carolina; and	0	s
WHEREAS, on March 13, 2020, the President of the United States declared the ongoing	0	c
COVID-19 outbreak a pandemic of sufficient severity and magnitude to warrant an emergency	0	c
declaration for all states, tribes, territories, and the District of Columbia, pursuant to Section 501(b)	0	c
of the Robert T. Stafford Disaster Relief and Emergency Assistance Act, 42 U.S.C. §§ 5121−5207	0	c
(“Stafford Act”); and	0	s
WHEREAS, on March 13, 2020, the President of the United States also declared that the	0	c
COVID-19 pandemic in the United States constitutes a national emergency, pursuant to Sections	0	c
201  and  301  of  the  National  Emergencies  Act,  50  U.S.C.  §§ 1601  et  seq.,  and  consistent  with	0	c
Section 1135 of the Social Security Act, 42 U.S.C. § 1320b-5, as amended, retroactive to March	0	c
1, 2020; and	0	s
WHEREAS,  in  addition  to  declaring  a  State  of  Emergency  on  March  13,  2020,  the	0	c
undersigned  also  issued  Executive  Order  Nos.  2020-07,  2020-09,  2020-10,  2020-11,  2020-12,	0	c
2020-13,  and  2020-14,  initiating  and  directing  various  emergency  measures  to  address  the	0	c
significant public health, economic, and other impacts associated with COVID-19 and to mitigate	0	c
the resulting burdens on healthcare providers, individuals, and businesses in the State of South	0	c
Carolina; and	0	s
WHEREAS,  on  March  24,  2020,  the  undersigned  requested  that  the  President  of  the	0	c
United States declare that a major disaster exists in the State of South Carolina pursuant to Section	0	c
401 of the Stafford Act, and on March 27, 2020, the President of the United States granted the	0	c
undersigned’s request and declared that such a major disaster exists and ordered federal assistance	0	c
to  supplement  state,  tribal,  and  local  recovery  efforts  in  the  areas  affected  by  the  COVID-19	0	c
pandemic, with an effective date retroactive to January 20, 2020, and continuing; and	0	s
Executive Order No. 2020-28	0	e
Page 2	0	e
April 20, 2020	0	e
WHEREAS, on March 28, 2020, the undersigned issued Executive Order No. 2020-15,	0	c
declaring a new State of Emergency based on a determination that COVID-19 posed an actual and	0	c
ongoing public health threat to the State of South Carolina and extending the provisions of the	0	c
aforementioned  Orders  for  the  duration  of  the  State  of  Emergency,  unless  otherwise  modified,	0	c
amended, or rescinded; and	0	s
WHEREAS, in further proactively preparing for and promptly responding to the ongoing	0	c
and  evolving  emergency,  the  undersigned  subsequently  issued  Executive  Order  Nos.  2020-16,	0	c
2020-17,  2020-18,  2020-19,  2020-21,  and  2020-22,  initiating  and  directing  additional	0	c
extraordinary measures deemed necessary and appropriate to cope with the public health threats	0	c
and dangers and to address the resulting strain on healthcare resources, the economic consequences	0	c
for individuals and businesses, and the various other significant impacts associated with COVID-	0	c
19; and	0	s
WHEREAS,  on  April  12,  2020,  the  undersigned  issued  Executive  Order  No.  2020-23,	0	c
declaring  an  additional  State  of  Emergency  based  on  new  facts  and  circumstances  and  a	0	c
determination that the accelerated spread of COVID-19 throughout the State posed a different and	0	c
distinct public health threat to the State of South Carolina and extending provisions of certain of	0	c
the aforementioned Orders for the duration of the State of Emergency, unless otherwise modified,	0	c
amended, or rescinded; and	0	s
WHEREAS,  on  April  16,  2020,  the  undersigned  issued  Executive  Order  No.  2020-25,	0	c
modifying  certain  emergency  restrictions  related  to  the  public  waters  of  the  State  to  facilitate	0	c
authorized outdoor exercise and recreational activities in accordance with Section 1 of Executive	0	c
Order  No.  2020-21  (Home  or  Work  Order),  as  well  as  modifying  and  extending  previous	0	c
emergency measures pertaining to unemployment claims and benefits; and	0	s
WHEREAS, on April 16, 2020, the President of the United States issued new Guidelines	0	c
on Opening Up America Again, which contemplate individual States reopening in phases using a	0	c
deliberate, data-driven approach tailored to address the situation in each State; and	0	s
WHEREAS, section 1-3-430 of the South Carolina Code of Laws, as amended, provides	0	c
that when a state of emergency has been declared, the undersigned “may further, cope with such	0	c
threats and danger, order and direct any person or group of persons to do any act which would in	0	c
his opinion prevent or minimize danger to life, limb or property, or prevent a breach of the peace;	0	c
and he may order any person or group of persons to refrain from doing any act or thing which	0	c
would, in his opinion, endanger life, limb or property, or cause, or tend to cause, a breach of the	0	c
peace, or endanger the peace and good order of the State or any section or community thereof, and	0	c
he  shall  have  full  power  by  use  of  all  appropriate  available  means  to  enforce  such  order  or	0	c
proclamation”; and	0	s
WHEREAS, pursuant to section 1-3-460 of the South Carolina Code of Laws, as amended,	0	c
the foregoing and other emergency authority is “supplemental to and in aid of powers now vested	0	c
in the Governor under the Constitution, statutory laws[,] and police powers of the State”; and	0	s
Executive Order No. 2020-28	0	e
Page 3	0	e
April 20, 2020	0	e
WHEREAS, in accordance with section 25-1-440 of the South Carolina Code of Laws, as	0	c
amended, when an emergency has been declared, the undersigned is “responsible for the safety,	0	c
security,  and  welfare  of  the  State  and  is  empowered  with  [certain]  additional  authority  to	0	c
adequately  discharge  this  responsibility,”  to  include  issuing,  amending,  and  rescinding	0	c
“emergency proclamations and regulations,” which shall “have the force and effect of law as long	0	c
as the emergency exists”; and	0	s
WHEREAS, pursuant to section 25-1-440 of the South Carolina Code of Laws, when an	0	c
emergency  has  been  declared,  the  undersigned  is  further  authorized  to  “suspend  provisions  of	0	c
existing regulations prescribing procedures for conduct of state business if strict compliance with	0	c
the provisions thereof would in any way prevent, hinder, or delay necessary action in coping with	0	c
the emergency”; and	0	s
WHEREAS, in addition to the foregoing, section 25-1-440 of the South Carolina Code of	0	c
Laws  authorizes  the  undersigned,  during  a  declared  emergency,  to  “transfer  the  direction,	0	c
personnel,  or  functions  of  state  departments,  agencies,  and  commissions,  or  units  thereof,  for	0	c
purposes  of  facilitating  or  performing  emergency  services  as  necessary  or  desirable”  and  to	0	c
“compel  performance  by  elected  and  appointed  state,  county,  and  municipal  officials  and	0	c
employees of the emergency duties and functions assigned them in the State Emergency Plan or	0	c
by Executive Order”; and	0	s
WHEREAS, the  undersigned is further  authorized, pursuant  to section  25-1-440 of the	0	c
South Carolina Code of Laws, to “direct and compel evacuation of all or part of the populace from	0	c
any stricken or threatened area if this action is considered necessary for the preservation of life or	0	c
other emergency mitigation, response, or recovery; to prescribe routes, modes of transportation,	0	c
and destination in connection with evacuation; and to control ingress and egress at an emergency	0	c
area, the movement of persons within the area, and the occupancy of premises therein”; and	0	s
WHEREAS, in accordance with section 16-7-10(A) of the South Carolina Code of Laws,	0	c
as  amended,  “[i]n  any  area  designated  by  the  Governor  in  his  proclamation  that  a  state  of	0	c
emergency exists, and during the duration of the proclamation, it is unlawful for a person to: violate	0	c
a  provision  in  the  proclamation  including,  but  not  limited  to,  any  curfew  set  forth  by  the	0	c
proclamation; congregate, unless authorized or in their homes, in groups of three or more and to	0	c
refuse to disperse upon order of a law enforcement officer; or wilfully fail or refuse to comply with	0	c
any lawful order or direction of any law enforcement officer”; and	0	s
WHEREAS, it is axiomatic that “[t]he health, welfare, and safety of the lives and property	0	c
of the people are beyond question matters of public concern, and reasonable regulations and laws	0	c
