EXECUTIVE ORDER IN RESPONSE TO COVID-19	0	x
(COVID-19 EXECUTIVE ORDER NO. 8)	0	x
WHEREAS, I, JB Pritzker, Governor of Illinois, declared all counties in the State of Illinois as a	0	c
disaster area on March 9, 2020 (Gubernatorial Disaster Proclamation) in response to the outbreak	0	c
of Coronavirus Disease 2019 (COVID-19); and,	0	s
WHEREAS, in a short period of time, COVID-19 has rapidly spread throughout Illinois,	0	c
necessitating updated and more stringent guidance from federal, state, and local public health	0	c
officials; and,	0	s
WHEREAS, for the preservation of public health and safety throughout the entire State of	0	c
Illinois, and to ensure that our healthcare delivery system is capable of serving those who are	0	c
sick, I find it necessary to take additional measures consistent with public health guidance to	0	c
slow and stop the spread of COVID-19;	0	s
WHEREAS, COVID-19 has resulted in significant economic impact, including loss of income	0	c
and wages, that threaten to undermine housing security and stability;	0	s
WHEREAS, the enforcement of eviction orders for residential premises is contrary to the	0	c
interest of preserving public health and ensuring that individuals remain in their homes during	0	c
this public health emergency;	0	s
THEREFORE, by the powers vested in me as the Governor of the State of Illinois, and pursuant	0	c
to Sections 7(1), 7(2), 7(8), 7(10), and 7(12) of the Illinois Emergency Management Agency Act,	0	c
20 ILCS 3305, and consistent with the powers in public health laws, I hereby order the	0	c
following, effective March 21, 2020 at 5:00 pm and for the remainder of the duration of the	0	c
Gubernatorial Disaster Proclamation, which currently extends through April 7, 2020:	0	d
Section 1. Stay at Home; Social Distancing Requirements; and Essential Businesses and	0	c
Operations	0	d
1.  Stay at home or place of residence.  With exceptions as outlined below, all individuals	0	c
currently living within the State of Illinois are ordered to stay at home or at their place of	0	c
residence except as allowed in this Executive Order.  To the extent individuals are using	0	c
shared or outdoor spaces when outside their residence, they must at all times and as much	0	c
as reasonably possible maintain social distancing of at least six feet from any other	0	c
person, consistent with the Social Distancing Requirements set forth in this Executive	0	c
Order.  All persons may leave their homes or place of residence only for Essential	0	c
Activities, Essential Governmental Functions, or to operate Essential Businesses and	0	c
Operations, all as defined below.	0	b
Individuals experiencing homelessness are exempt from this directive, but are strongly	0	c
urged to obtain shelter, and governmental and other entities are strongly urged to make	0	c
such shelter available as soon as possible and to the maximum extent practicable (and to	0	c
