ORDER OF THE STATE HEALTH OFFICER	0	x
SUSPENDING CERTAIN PUBLIC GATHERINGS	0	x
DUE TO RISK OF INFECTION BY COVID-19	0	x
(APPLICABLE STATEWIDE)	0	x
AMENDED MARCH 27, 2020	0	x
WHEREAS, Coronavirus Disease 2019 (COVID-19) has been detected in Alabama; and	0	s
WHEREAS, the appearance of COVID-19 in the State poses the potential of widespread	0	c
exposure to an infectious agent that poses significant risk of substantial harm to a large number	0	c
of people; and	0	s
WHEREAS, the State Board of Health has designated COVID-19 to be a disease of	0	c
epidemic potential, a threat to the health and welfare of the public, or otherwise of public health	0	c
importance; and	0	s
WHEREAS, on March 13, 2020, on recommendation of the State Health Officer, Kay	0	c
Ivey, Governor of the State of Alabama, declared a state public health emergency exists in the	0	c
State of Alabama; and	0	s
WHEREAS, on March 16, 2020, the Jefferson County Health Officer, in response to a	0	c
rapidly growing number of cases of COVID-19 being detected in Jefferson County, issued an	0	c
order suspending certain public gatherings in that county; and	0	s
WHEREAS, on March 17, 2020, the State Health Officer issued a similar order for	0	c
counties surrounding Jefferson, including Blount, St. Clair, Shelby, Tuscaloosa, and Walker	0	c
Counties, and	0	s
WHEREAS, on March 19, 2020, the State Health Officer issued an order, and on March	0	c
20, 2020, an amended order, of statewide application suspending certain public gatherings;	0	s
WHEREAS, further social distancing measures are necessary to be implemented on a	0	c
statewide basis to prevent the spread of COVID-19; and	0	s
WHEREAS, Ala. Code § 22-2-2(4), authorizes the State Health Officer, on behalf of the	0	c
State Board of Health, to direct that conditions prejudicial to health in public places within the	0	c
State be abated;	0	s
NOW THEREFORE, THESE PREMISES CONSIDERED, it is ordered that the	0	c
following be implemented statewide:	0	d
1. Effective March 28, 2020 at 5:00 P.M., all non-work related gatherings of 10 persons	0	c
or more, or non-work related gatherings of any size that cannot maintain a consistent six-foot	0	c
1	0	e
distance between persons, are prohibited. Employers shall take all reasonable steps to meet these	0	c
standards for employees and customers.	0	s
2. Effective March 28, 2020 at 5:00 P.M., the following “non-essential” businesses,	0	c
venues, and activities shall be closed to non-employees or not take place:	0	d
a.      Entertainment venues as follows:	0	d
(1)  Night clubs	0	s
(2)  Bowling alleys	0	s
(3)  Arcades	0	s
(4)  Concert venues	0	s
(5)  Theaters, auditoriums, and performing arts centers	0	s
(6)  Tourist attractions (including museums and planetariums)	0	s
(7)  Racetracks	0	s
(8)  Indoor children’s play areas	0	s
(9)  Adult entertainment venues	0	s
(10)  Casinos	0	s
(11)  Bingo halls	0	s
(12)  Venues operated by social clubs	38	s
b.     Athletic facilities and activities as follows:	0	d
(1)  Fitness centers and commercial gyms	0	s
