SIXTH AMENDED NUMBER SIXTY-SEVEN (2020)	0	x
AND	0	x
ORDER OF PUBLIC HEALTH EMERGENCY SEVEN	0	x
PHASE THREE TIGHTENING OF CERTAIN TEMPORARY RESTRICTIONS DUE	0	x
TO NOVEL CORONAVIRUS (COVID-19)	0	x
Importance of the Issue	0	d
While the Commonwealth’s case count per capita and positivity rate remain	0	c
comparatively low, all five health regions in the Commonwealth are experiencing increases	0	c
in new COVID-19 cases, positive tests, and hospitalizations. Virginia is averaging 1,500	0	c
new COVID-19 cases per day, up from a statewide peak of approximately 1,200 in May.	0	c
The statewide percent test positivity rate is at 6.5%, an increase from 4.3% approximately	0	c
one month ago. All five health regions report a positivity rate over five percent and	0	c
hospitalizations have increased statewide by more than 35 percent in the last four weeks.	0	c
Case investigation interviews show a pattern of increased socialization with extended (non-	0	c
household) family members and friends. Recent scientific literature suggests indoor	0	c
settings contribute to community transmission. Modeling data demonstrates that large	0	c
gatherings substantially increase transmission of the virus. Although Virginians have done	0	c
much to mitigate the spread of the virus, it is clear that additional measures are necessary.	0	c
Accordingly, I order following additional restrictions.	6	s
Directive	0	d
Therefore, by virtue of the authority vested in me by Article V of the Constitution of	0	c
Virginia, by § 44-146.17 of the Code of Virginia, by any other applicable law, and in furtherance	0	c
of Amended Executive Order 51 (2020), and by virtue of the authority vested in the State Health	0	c
Commissioner pursuant to §§ 32.1-13, 32.1-20, and 35.1-10 of the Code of Virginia, the	0	c
following is ordered:	0	d
A. BUSINESS RESTRICTIONS	0	d
1. All Businesses	0	d
Any businesses not listed in sections A or C should adhere to the Guidelines for All	0	c
Business Sectors expressly incorporated by reference herein as best practices. This	0	c
guidance is located here.	27	s
2. Restaurants, Dining Establishments, Food Courts, Breweries, Microbreweries,	0	c
Distilleries, Wineries, and Tasting Rooms	0	d
Restaurants, dining establishments, food courts, breweries, microbreweries, distilleries,	0	c
wineries, and tasting rooms may continue to operate delivery, take-out, and indoor and	0	c
outdoor service, provided such businesses comply with the Guidelines for All Business	0	c
Sectors, and sector-specific guidance for restaurant and beverage services incorporated by	0	c
reference herein. Such guidance includes, but is not limited to, the following requirements:	0	d
a.  No alcoholic beverage shall be sold, consumed, or possessed on premises after	0	c
10:00 p.m. in any restaurant, dining establishment, food court, brewery,	0	c
microbrewery, distillery, winery, or tasting room. Alcoholic beverages may	0	c
continue to be sold via delivery or take-out after 10 p.m., as permitted by	0	c
existing regulations promulgated by the Virginia Alcoholic Beverage Control	0	c
Authority.	0	s
b.  Closure of all dining and congregation areas in restaurants, dining	0	c
establishments, food courts, breweries, microbreweries, distilleries, wineries,	0	c
and tasting rooms between the hours of 12:00 a.m. and 5 a.m. Restaurants,	0	c
dining establishments, food courts, breweries, microbreweries, distilleries,	0	c
wineries, and tasting rooms may continue to offer delivery and take-out	0	c
services between the hours of 12:00 a.m. and 5 a.m.	0	s
c.  All parties must be separated by at least six feet, including in the bar area. Tables	0	c
at which dining parties are seated must be positioned six feet apart from other	0	c
tables. If tables are not movable, parties must be seated at least six feet apart,	0	c
including in the bar area.	0	s
d.  Customers may be provided with self-service options. Facilities must provide	0	c
hand sanitizer at food lines and require the use of barriers (e.g., gloves or deli	0	c
paper) when employees or patrons touch common utensils. Food lines must be	0	c
monitored by trained staff at all times of operation, and serving utensils must be	0	c
changed hourly.	0	s
e.  Employees working in customer-facing areas must wear face coverings over their	0	c
nose and mouth at all times.	0	s
f.  Routine cleaning and disinfection of frequently-contacted surfaces must be	0	c
2	0	e
conducted every 60 minutes during operation. Tabletops must be cleaned in	0	c
between patrons.	0	s
g.  Bar seats and congregating areas of restaurants must be closed to patrons except	0	c
for through-traffic. Non-bar seating in the bar area (i.e., tables or counter seats	0	c
that do not line up to a bar or food service area) may be used for customer seating	0	c
as long as a minimum of six feet is provided between parties at tables.	0	s
h.   If any such business cannot adhere to these requirements, it must close.	32	s
3. Farmers’ Markets	0	d
Farmers markets may continue to operate, provided such businesses comply with the	0	c
Guidelines for All Business Sectors and the sector-specific guidelines for farmers’ markets	0	c
incorporated by reference herein. Such guidance includes, but is not limited to, the	0	c
following requirements:	0	d
a.  Employees and patrons must maintain at least six feet of physical distancing	0	c
between individuals who are not Family members, as defined below, at all times.	0	c
Configure operations to avoid congestion or congregation points.	0	s
b.  Employees and vendors in customer-facing indoor areas must wear face coverings	0	c
over their nose and mouth at all times.  If the market is outdoors and physical	0	c
distancing can be maintained, then face coverings are not required.	0	s
c.  Routine cleaning and disinfection of frequently-contacted surfaces must be	0	c
conducted during operation.	0	s
d.  Farmers markets must promote frequent and thorough hand washing, including by	0	c
providing employees, customers, visitors, the general public, and other persons	0	c
entering into the place of employment with a place to wash their hands. If soap	0	c
and running water are not immediately available, provide hand sanitizers.	0	s
e.  If any such business cannot adhere to these requirements, it must close.	70	s
4. Brick and Mortar Retail Businesses Not Listed in Section C, Paragraph 1 (Non-	0	c
Essential Retail)	0	d
Any brick and mortar retail business not listed in section C, paragraph 1 below may	0	c
continue to operate, provided such business complies with the Guidelines for All Business	0	c
Sectors and the sector-specific guidance for brick and mortar retail expressly incorporated	0	c
by reference herein. Such guidance includes, but is not limited to, the following	0	c
requirements:	0	d
a.  Employees and patrons must maintain at least six feet of physical distancing	0	c
between individuals who are not Family members at all times.	0	s
3	0	e
b.  Employees working in customer-facing areas must wear face coverings over their	0	c
nose and mouth at all times.	0	s
c.  If any such business cannot adhere to these requirements, it must close.	89	s
5. Fitness and Exercise Facilities	0	d
Fitness centers, gymnasiums, recreation centers, sports facilities, and exercise facilities	0	c
may continue to operate indoor and outdoor activities, provided such businesses comply	0	c
with the Guidelines for All Business Sectors and the sector-specific guidelines for fitness	0	c
and exercise facilities expressly incorporated by reference herein. Such guidance includes,	0	c
but is not limited to, the following requirements:	0	d
a.  Patrons, members, and guests who are not Family members must remain at least	0	c
ten feet apart during all activities except where necessary for the physical safety	0	c
of an individual.	0	s
b.  Instructors and all participants of group exercise and fitness classes who are not	0	c
