HEALTH AND HUMAN SERVICES AGENCY	0	x
PUBLIC HEALTH SERVICES	0	x
ORDER OF THE HEALTH OFFICER	0	x
AND EMERGENCY REGULATIONS	0	x
(Effective May 6, 2021)	0	x
Pursuant to California Health and Safety Code sections 101040, 120175, and 120175.5 (b) the	0	c
Health Officer of the County of San Diego (Health Officer) ORDERS AS FOLLOWS:	0	d
Effective immediately, and continuing until further notice, the following will be in effect for San	0	c
Diego County (county):	0	d
1.  All  persons  shall  comply  with  applicable  State  orders,  regulations,  and  guidance  regarding	0	c
COVID-19 prevention including relevant guidance when participating in those sectors listed	0	c
in sections 10 and 11, below.	0	s
2.  All “gatherings,” shall be in conformance with the April 15, 2021 California Department of	0	c
Public      Health      Updated      Guidance      for      Gatherings      found      at	0	c
https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/Guidance-for-the-	0	c
Prevention-of-COVID-19-Transmission-for-Gatherings-November-2020.aspx.	0	s
3.  SCHOOLS	0	d
a.  All public, charter, and private schools  may  hold classes and other school activities	0	c
only under circumstances permitted by the State and in compliance with the COVID-	0	c
19 and Reopening In-Person Instruction Framework & Public Health Guidance for	0	c
K-12  Schools  in  California,  2020-2021  School  Year  guidance  (available  at:	0	c
https://www.cdph.ca.gov/Programs/CID/DCDC/CDPH%20Document%20Library/C	0	c
OVID-19/Consolidated_Schools_Guidance.pdf),  and  as  may  be  updated  or	0	c
superseded. Institutions of higher education may hold classes or other school activities	0	c
only under circumstances permitted by the State and in compliance with the COVID	0	c
− 19 Industry Guidance: Institutions of Higher Education and as may be updated or	0	c
superseded.  A written, worksite-specific COVID-19 prevention plan as stated in their	0	c
applicable state guidance may be used by schools and institutions of higher education	0	c
in lieu of a Social Distancing and Sanitation Protocol or Safe Reopening Plan.	0	s
b.  All  school  districts,  charter  schools,  and  private  schools  serving  grades  TK  −  12	0	c
inclusive,  shall  report  the  following  to  the  San  Diego  County  Office  of  Education	0	c
(SDCOE)  on  or  before  the  second  and  fourth  Monday  of  each  month,  in  a  format	0	c
designated by SDCOE:	0	d
i.  Number of students participating in full-time in-person learning, by school	0	c
site and school district, if applicable.	0	s
