EXECUTIVE OFFICE OF THE PRESIDENT	0	x
OFFICE OF MANAGEMENT AND BUDGET	0	x
WASHINGTON,  D.C.  20503	0	x
May 21, 2019	0	x
M-19-17	0	x
MEMORANDUM FOR HEADS OF EXECUTIVE DEPARTMENTS AND AGENCIES	0	x
FROM:        Russell T.  Vought	0	x
Acting Director	0	x
SUBJECT:   Enabling Mission Delivery through Improved Identity, Credential, and Access	0	x
Management	0	x
This memorandum sets forth the Federal Government's 1 Identity, Credential, and Access	0	c
Management (ICAM) policy and includes the following sections:	0	d
I.    Contextualizing Identity in the Federal Government	0	s
II.  Managing Identities, Credentials, and Access in Modern Government	0	s
III.  Adapting the Government's Approach to Homeland Security Presidential	0	c
Directive 12 (HSPD-12)	0	s
IV.    Shifting the Operating Model beyond the Perimeter	0	s
V.    Improving Digital Interactions with the American Public	0	s
VI.    Enumerating Government-wide Responsibilities	-1	s
I.  Contextualizing Identity in the Federal Government	0	d
For the purposes of this policy, "identity" refers to the unique representation of a subject,	0	c
for example, a person, a device, a non-person entity (NPE), or an automated technology, that is	0	c
engaged in a transaction involving at least one Federal subject or a Federal resource, for	0	c
example, Federal information, a Federal information system,2  or a Federal facility or secured	0	c
area.  This policy may refer to identity in two contexts: (1) Federal enterprise identity or (2)	0	c
public identity.  Federal enterprise identity, or, simply, enterprise identity, refers to the unique	0	c
representation of an employee, a contractor, an enterprise user, such as a mission or business	0	c
partner, a device, or a technology that a Federal agency manages to achieve its mission and	0	c
business objectives.  Public identity refers to the unique representation of a subject that a Federal	0	c
agency interacts with, but does not directly manage, in order to achieve its mission and business	0	c
objectives.  Public identity may also refer to a mechanism of trust used to render services to the	0	c
American public.	20	s
1 This memorandum is not applicable to national security systems (NSS) as defined in 44 U.S.C.  § 3552 (Federal	0	x
Information Security Modernization Act of2014), although 0MB encourages owners and operators ofNSS to	0	x
utilize the requirements in this document where appropriate.	0	x
2 Pursuant to 0MB Circular A-130, "information system" means a discrete set of information resources organized	0	x
for the collection, processing, maintenance, use, sharing, dissemination, or disposition of information.	0	x
II. Managing Identities, Credentials, and Access in Modern Government	0	d
Advances in technology have enabled more digital interactions and business transactions,	0	c
offering the Federal Government an opportunity for faster,  more reliable connections and	0	c
operations.  In conjunction with this opportunity, however, a new set of challenges has emerged,	0	c
because information about individuals has become more widely available through social media	0	c
and breaches of personally identifiable information (PII).3  In favor of this opportunity, the	0	c
Federal Government continues to refresh its digital infrastructure through comprehensive efforts	0	c
focused on cybersecurity, procurement, and management of a workforce capable of operating	0	c
modem, frequently cloud-based environments.  To address the challenges that have emerged	0	c
alongside this opportunity, embedded within these efforts is an intensified focus on risk	0	c
management and the adoption of processes, policies, and solutions that enhanc〜 privacy and	0	c
security and that mitigate the degradation of operational service delivery.  Accordingly, identity	0	c
management has become even more critical to the Federal Government's successful delivery of	0	c
mission and business promises to the American public.  As such, through this Federal ICAM	0	c
policy, the Government is enacting a common vision for identity as an enabler of mission	0	c
delivery, trust, and safety of the Nation.	0	s
To ensure secure and efficient operations, agencies of the Federal Government must be	0	c
able to identify, credential, monitor, and manage subjects thataccess Federal resources,	0	c
including information, information systems, facilities, and secured areas across their respective	0	c
enterprises.  In particular, how agencies conduct identity proofing, establish enterprise digital	0	c
identities, and adopt sound processes for authentication and access control significantly affects	0	c
the security and delivery of their services, as well as individuals' privacy. 4	0	s
Furthermore, in line with the Federal Government's updated approach to modernization,	0	c
it is essential that agencies' ICAM strategies and solutions shift from the obsolete Levels of	0	c
Assurance (LOA)5 model towards a new model informed by risk management perspectives, the	0	c
