STATE OF WASHINGTON	0	x
DEPARTMENT OF HEALTH	0	x
PO Box 47890  Olympia, Washington 98504-7890	0	x
 Tel: 360-236-4030  711 Washington Relay Service	0	x
ORDER OF THE SECRETARY OF HEALTH	0	x
AMENDING ORDER 20-03	0	x
20-03.2	0	x
Face Coverings - Statewide	0	x
WHEREAS, Washington State Governor Jay Inslee has issued Proclamation 20-05,	0	c
subsequently amended and extended, proclaiming a statewide State of Emergency due to an	0	c
outbreak of coronavirus disease 2019 (COVID-19) in the United States and community spread of	0	c
COVID-19 in Washington State; and	0	s
WHEREAS, COVID-19 spreads mainly from person to person through respiratory droplets	0	c
when infected people, many of whom do not exhibit COVID-19 symptoms, cough, sneeze, or	0	c
talk, and evidence suggests that wearing a cloth face covering reduces an infected person’s	0	c
chance of spreading the infection to others and may protect uninfected persons from larger	0	c
droplets from infected people around them; and	0	s
WHEREAS, the Washington State Department of Health, the United States Centers for Disease	0	c
Control and Prevention (CDC), and the World Health Organization recommend that people wear	0	c
cloth face coverings when they are gathered with non-household members or in public settings,	0	c
given the substantial number of cases of COVID-19 infection, these precautions must be	0	c
mandatory; and	0	s
WHEREAS, although many Washingtonians wear face coverings voluntarily when in public,	0	c
requiring all Washingtonians to wear cloth face coverings in public, subject to certain	0	c
exceptions, helps control and prevent the spread of COVID-19 in Washington State; and	0	s
WHEREAS, the worldwide COVID-19 pandemic and its progression in Washington State	0	c
continue to constitute an emergency threatening the safety of the public health, demanding action	0	c
by the Secretary of Health, and only a small number of Washington’s local health officers have	0	c
issued orders requiring the general public in their jurisdictions to wear cloth face coverings in	0	c
public; and	0	s
WHEREAS, on June 24, 2020, Order of the Secretary of Health 20-03 was issued, directing	0	c
every person in Washington State to wear a face covering when in any indoor or outdoor public	0	c
setting, subject to certain exceptions; and	0	s
WHEREAS, on July 24, 2020, Order of the Secretary of Health 20-03.1 was issued, directing	0	c
every person in Washington State to wear a face covering when outside of their dwelling unit,	0	c
subject to certain exception; and	0	s
Page 1	0	e
WHEREAS, for the same reasons stated above, requiring people to wear face coverings when in	0	c
a place where non-household members are present or generally accessible to non-household	0	c
members will help control and prevent the spread of COVID-19 in Washington State; and	0	s
WHEREAS, it is scientifically appropriate to amend the face covering order to incorporate new	0	c
CDC guidance recommending that fully vaccinated people need not wear face coverings, except	0	c
