SECURITIES AND EXCHANGE COMMISSION	0	x
INVESTMENT COMPANY ACT OF 1940	0	x
Release No. 33817 / March 13, 2020	0	x
ORDER UNDER SECTION 6(c) AND SECTION 38(a) OF THE INVESTMENT COMPANY	0	x
ACT OF 1940 GRANTING EXEMPTIONS FROM SPECIFIED PROVISIONS OF THE	0	x
INVESTMENT COMPANY ACT AND CERTAIN RULES THEREUNDER; COMMISSION	0	x
STATEMENT REGARDING PROSPECTUS DELIVERY	0	x
The current outbreak of coronavirus disease 2019 (COVID-19) was first reported on	0	c
December 31, 2019.  The disease has led to disruptions to transportation, including buses,	0	c
subways, trains and airplanes, and the imposition of quarantines around the world.  The	0	c
Commission has heard from industry representatives that COVID-19 may present challenges for	0	c
boards of directors of registered management investment companies and business development	0	c
companies (“BDCs”) to travel in order to meet the in-person voting requirements under the	0	c
Investment Company Act of 1940 (the “Investment Company Act” or “the Act”) and rules	0	c
thereunder.  In addition, we recognize that registered management investment companies and	0	c
unit investment trusts (together, “registered funds”) may face challenges if, as a result of	0	c
COVID-19, personnel of registered fund managers or other third-party service providers that are	0	c
necessary to prepare these reports become unavailable, or only available on a limited basis, in: (i)	0	c
preparing or transmitting annual and semi-annual shareholder reports; and/or (ii) timely filing	0	c
Forms N-CEN and N-PORT.  We also understand that due to recent market movements certain	0	c
registered closed-end funds (“closed-end funds”) and BDCs may seek to call or redeem	0	c
securities and may face challenges in providing the advance notice required under Rule 23c-2.	0	c
Finally, we appreciate that there may be difficulties in the timely delivery of registered fund	0	c
prospectuses.  In light of the current situation, we are issuing this Order providing an exemption	0	c
from certain requirements of the Investment Company Act and a statement regarding prospectus	0	c
delivery obligations of registered funds.	0	s
Section 6(c) of the Investment Company Act provides that the Commission may	0	c
conditionally or unconditionally exempt any person, security or transaction, or any class or	0	c
classes of persons, securities or transactions, from any provision or provisions of the Investment	0	c
Company Act, or any rule or regulation thereunder, if and to the extent that such exemption is	0	c
necessary or appropriate in the public interest and consistent with the protection of investors and	0	c
the purposes fairly intended by the policy and provisions of the Investment Company Act.	0	c
Section 38(a) of the Investment Company Act provides that the Commission may make, issue,	0	c
amend and rescind such rules and regulations and such orders as are necessary or appropriate to	0	c
the exercise of the powers conferred upon the Commission under the Investment Company Act.	0	s
I.      TIME PERIOD FOR THE EXEMPTIVE RELIEF	0	d
The time period for the relief specified in this Order is as follows:	0	d
•  For the relief in Sections II and V of this Order, the relief is limited to the period from	0	c
and including the date of this Order to June 15, 2020.	0	s
•  For the relief in Sections III and IV of this Order, the relief is limited to filing or	0	c
transmittal obligations, as applicable, for which the original due date is on or after the	0	c
date of this Order but on or prior to April 30, 2020.	37	s
The Commission intends to continue to monitor the current situation.  The time period for	0	c
any or all of the relief may, if necessary, be extended with any additional conditions that are	0	c
deemed appropriate, and the Commission may issue other relief as necessary or appropriate.	36	s
II.     IN-PERSON BOARD MEETING REQUIREMENTS FOR REGISTERED	0	c
MANAGEMENT INVESTMENT COMPANIES AND BDCs	0	d
In light of the current and potential effects of COVID-19, the Commission finds that the	0	c
exemptions set forth below:	0	d
are necessary and appropriate in the public interest and consistent with the	0	c
protection of investors and the purposes fairly intended by the policy and	0	c
provisions of the Investment Company Act; and	0	s
are necessary and appropriate to the exercise of the powers conferred on it by the	0	c
Investment Company Act.	49	s
The necessity for prompt action of the Commission does not permit prior notice of the	0	c
Commission’s action.	0	s
Accordingly, it is ORDERED, pursuant to Sections 6(c) and 38(a) of the Act:	0	d
That for the period specified in Section I, a registered management investment company or BDC	0	c
and any investment adviser of or principal underwriter for such registered management	0	c
investment company or BDC is exempt from the requirements imposed under sections 15(c) and	0	c
32(a) of the Investment Company Act and Rules 12b-1(b)(2) and 15a-4(b)(2)(ii) under the	0	c
Investment Company Act that votes of the board of directors of either the registered management	0	c
investment company or BDC be cast in person, provided that:	0	d
(i) reliance on this Order is necessary or appropriate due to circumstances related to	0	c
current or potential effects of COVID-19;	0	s
(ii) the votes required to be cast at an in-person meeting are instead cast at a meeting in	0	c
