ORDER OF THE STATE HEALTH OFFICER	0	x
SUSPENDING CERTAIN PUBLIC GATHERINGS	0	x
DUE TO RISK OF INFECTION BY COVID-19	0	x
(APPLICABLE STATEWIDE)	0	x
AMENDED APRIL 7, 2021	0	x
WHEREAS Coronavirus Disease 2019 (COVID-19) has been detected in Alabama;	0	s
WHEREAS the appearance of COVID-19 in the State poses the potential of widespread	0	c
exposure to an infectious agent that poses significant risk of substantial harm to a large number	0	c
of people;	0	s
WHEREAS the State Board of Health has designated COVID-19 to be a disease of	0	c
epidemic potential, a threat to the health and welfare of the public, or otherwise of public health	0	c
importance;	0	s
WHEREAS on March 13, 2020, on recommendation of the State Health Officer, Kay	0	c
Ivey, Governor of the State of Alabama, declared a state public health emergency exists in the	0	c
State of Alabama;	0	s
WHEREAS on March 16, 2020, the Jefferson County Health Officer, in response to a	0	c
rapidly growing number of cases of COVID-19 being detected in Jefferson County, issued an	0	c
order suspending certain public gatherings in that county;	0	s
WHEREAS on March 17, 2020, the State Health Officer issued a similar order for	0	c
counties surrounding Jefferson, including Blount, St. Clair, Shelby, Tuscaloosa, and Walker	0	c
Counties,	0	s
WHEREAS on March 19, 2020, the State Health Officer issued an order, and on March	0	c
20, 2020, March 27, 2020, April 3, 2020, April 28, 2020, May 8, 2020, May 21, 2020, June 30,	0	c
2020, July 15, 2020, July 29, 2020, August 27, 2020, September 30, 2020, November 5, 2020,	0	c
December 9, 2020, January 21, 2021, and March 4, 2021, amended orders, of statewide	0	c
application suspending certain public gatherings;	0	s
WHEREAS certain measures remain necessary on a statewide basis to prevent the	0	c
spread of COVID-19; and	0	s
WHEREAS Ala. Code § 22-2-2 authorizes the State Health Officer, on behalf of the	0	c
State Board of Health, to direct that conditions prejudicial to health in public places within the	0	c
State be abated;	0	s
NOW THEREFORE, THESE PREMISES CONSIDERED, it is ordered that the	0	c
following Safer Apart order be implemented statewide:	0	d
1	0	e
1. Recommendations for individuals. Effective April 9, 2021, at 5:00 P.M., all	0	c
individualsーand especially vulnerable personsーare encouraged to exercise personal	0	c
responsibility in slowing the spread of COVID-19 by:	0	d
a.  Maintaining six feet of separation from persons of different households;	0	s
b.  Wearing a mask or other facial covering at all times when within six feet of a person	0	c
from another household;	0	s
c.  Staying home if sick;	0	s
d.  Washing hands frequently with soap and water or hand sanitizer, especially after	0	c
touching frequently used items or surfaces;	0	s
e.  Refraining from touching one’s face;	0	s
f.  Sneezing or coughing into a tissue, or the inside of one’s elbow; and	0	s
g.  Disinfecting frequently used items and surfaces as much as possible.	37	b
“Vulnerable persons” means individuals 65 years and older or individuals with serious	0	c
